ticker,date,open,high,low,close,return
AVAX,9/22/20,5.014,7.007,4.031,5.25,
AVAX,9/23/20,5.25,5.365,3.403,3.525,-32.85714286
AVAX,9/24/20,3.525,4.892,3.406,4.59,30.21276596
AVAX,9/25/20,4.59,5.028,4.204,4.718,2.788671024
AVAX,9/26/20,4.718,4.83,4.338,4.529,-4.005934718
AVAX,9/27/20,4.529,4.722,4.115,4.657,2.826230956
AVAX,9/28/20,4.657,4.71,4.172,4.206,-9.684346146
AVAX,9/29/20,4.206,4.294,3.965,4.143,-1.4978602
AVAX,9/30/20,4.143,4.415,4,4.333,4.586048757
AVAX,10/1/20,4.333,4.535,4.018,4.154,-4.131087007
AVAX,10/2/20,4.154,4.224,3.652,3.916,-5.729417429
AVAX,10/3/20,3.916,4.194,3.874,4.021,2.681307457
AVAX,10/4/20,4.021,4.084,3.837,3.968,-1.31808008
AVAX,10/5/20,3.968,4.05,3.874,3.985,0.428427419
AVAX,10/6/20,3.985,4.004,3.503,3.546,-11.01631117
AVAX,10/7/20,3.546,3.55,3.21,3.445,-2.848279752
AVAX,10/8/20,3.445,3.961,3.326,3.919,13.75907112
AVAX,10/9/20,3.919,4.329,3.807,4.253,8.522582291
AVAX,10/10/20,4.253,4.272,4.004,4.027,-5.313896073
AVAX,10/11/20,4.027,4.18,3.937,4.1,1.812763844
AVAX,10/12/20,4.1,4.715,4.058,4.414,7.658536585
AVAX,10/13/20,4.414,4.569,4.324,4.485,1.608518351
AVAX,10/14/20,4.485,4.489,4.017,4.164,-7.157190635
AVAX,10/15/20,4.164,4.233,4.002,4.131,-0.792507205
AVAX,10/16/20,4.131,4.162,3.879,4.047,-2.033405955
AVAX,10/17/20,4.047,4.214,3.971,4.199,3.755868545
AVAX,10/18/20,4.199,4.25,4.074,4.124,-1.786139557
AVAX,10/19/20,4.124,4.179,3.997,4.054,-1.697381183
AVAX,10/20/20,4.054,4.095,3.701,3.809,-6.043413912
AVAX,10/21/20,3.809,4.106,3.798,3.969,4.200577579
AVAX,10/22/20,3.969,4.488,3.96,4.338,9.297052154
AVAX,10/23/20,4.338,4.479,4.145,4.258,-1.844167819
AVAX,10/24/20,4.258,4.359,4.16,4.186,-1.690934711
AVAX,10/25/20,4.186,4.253,4.105,4.149,-0.88389871
AVAX,10/26/20,4.149,4.486,4.041,4.152,0.07230658
AVAX,10/27/20,4.152,4.347,4.037,4.122,-0.722543353
AVAX,10/28/20,4.122,4.175,3.935,4.058,-1.552644347
AVAX,10/29/20,4.058,4.098,3.73,3.775,-6.973878758
AVAX,10/30/20,3.775,3.827,3.583,3.726,-1.298013245
AVAX,10/31/20,3.726,3.748,3.588,3.635,-2.44229737
AVAX,11/1/20,3.635,3.713,3.565,3.681,1.265474553
AVAX,11/2/20,3.681,3.875,3.616,3.622,-1.602825319
AVAX,11/3/20,3.622,3.651,3.248,3.324,-8.22749862
AVAX,11/4/20,3.324,3.376,3.006,3.176,-4.452466907
AVAX,11/5/20,3.176,3.378,3.02,3.348,5.415617128
AVAX,11/6/20,3.348,3.658,3.324,3.589,7.19832736
AVAX,11/7/20,3.589,3.913,3.378,3.422,-4.653106715
AVAX,11/8/20,3.422,3.66,3.362,3.468,1.344243133
AVAX,11/9/20,3.468,3.533,3.257,3.411,-1.643598616
AVAX,11/10/20,3.411,3.629,3.38,3.576,4.837291117
AVAX,11/11/20,3.576,3.804,3.462,3.486,-2.516778523
AVAX,11/12/20,3.486,3.56,3.323,3.424,-1.778542742
AVAX,11/13/20,3.424,3.696,3.392,3.674,7.301401869
AVAX,11/14/20,3.674,3.697,3.4,3.487,-5.089820359
AVAX,11/15/20,3.487,3.642,3.419,3.548,1.749354746
AVAX,11/16/20,3.548,3.817,3.458,3.7,4.28410372
AVAX,11/17/20,3.7,3.93,3.692,3.839,3.756756757
AVAX,11/18/20,3.839,3.867,3.58,3.744,-2.474602761
AVAX,11/19/20,3.744,3.827,3.567,3.642,-2.724358974
AVAX,11/20/20,3.642,4.002,3.624,3.714,1.97693575
AVAX,11/21/20,3.714,4.085,3.665,4.015,8.104469575
AVAX,11/22/20,4.015,4.051,3.709,3.887,-3.188044832
AVAX,11/23/20,3.887,4.248,3.854,4.071,4.733727811
AVAX,11/24/20,4.071,4.33,3.868,4.25,4.396954065
AVAX,11/25/20,4.25,4.398,3.911,4.046,-4.8
AVAX,11/26/20,4.046,4.091,3.309,3.537,-12.58032625
AVAX,11/27/20,3.537,3.761,3.427,3.594,1.611535199
AVAX,11/28/20,3.594,3.7,3.478,3.631,1.0294936
AVAX,11/29/20,3.631,3.766,3.537,3.705,2.038006059
AVAX,11/30/20,3.705,3.816,3.648,3.702,-0.08097166
AVAX,12/1/20,3.702,3.814,3.462,3.563,-3.754727175
AVAX,12/2/20,3.563,3.845,3.513,3.742,5.023856301
AVAX,12/3/20,3.742,3.897,3.718,3.818,2.030999466
AVAX,12/4/20,3.818,3.859,3.513,3.537,-7.35987428
AVAX,12/5/20,3.537,3.72,3.514,3.642,2.968617472
AVAX,12/6/20,3.642,3.677,3.513,3.608,-0.933552993
AVAX,12/7/20,3.608,3.612,3.322,3.391,-6.014412417
AVAX,12/8/20,3.391,3.391,3.091,3.116,-8.109702153
AVAX,12/9/20,3.116,3.414,2.788,3.261,4.653401797
AVAX,12/10/20,3.261,3.348,3.065,3.148,-3.465194726
AVAX,12/11/20,3.148,3.303,3.016,3.24,2.92249047
AVAX,12/12/20,3.24,3.454,3.238,3.338,3.024691358
AVAX,12/13/20,3.338,3.416,3.283,3.34,0.059916117
AVAX,12/14/20,3.34,3.341,3.137,3.142,-5.928143713
AVAX,12/15/20,3.142,3.461,3.064,3.302,5.092297899
AVAX,12/16/20,3.302,3.376,3.147,3.342,1.211387038
AVAX,12/17/20,3.342,3.375,3.187,3.209,-3.979652902
AVAX,12/18/20,3.209,3.475,3.148,3.411,6.294795887
AVAX,12/19/20,3.411,3.607,3.38,3.464,1.553796541
AVAX,12/20/20,3.464,3.494,3.28,3.305,-4.590069284
AVAX,12/21/20,3.305,3.352,2.995,3.088,-6.56580938
AVAX,12/22/20,3.088,3.131,2.924,3.078,-0.323834197
AVAX,12/23/20,3.078,3.666,2.765,2.946,-4.288499025
AVAX,12/24/20,2.946,3.111,2.787,3.103,5.329260014
AVAX,12/25/20,3.103,3.126,2.845,2.951,-4.898485337
AVAX,12/26/20,2.951,2.989,2.846,2.913,-1.287699085
AVAX,12/27/20,2.913,3.069,2.841,2.9,-0.446275318
AVAX,12/28/20,2.9,3.045,2.865,2.954,1.862068966
AVAX,12/29/20,2.954,3.004,2.832,2.923,-1.049424509
AVAX,12/30/20,2.923,2.941,2.837,2.919,-0.136845706
AVAX,12/31/20,2.919,3.266,2.793,3.205,9.797875985
AVAX,1/1/21,3.205,3.934,3.05,3.666,14.38377535
AVAX,1/2/21,3.666,3.941,3.291,3.496,-4.637206765
AVAX,1/3/21,3.496,3.827,3.396,3.475,-0.600686499
AVAX,1/4/21,3.475,3.831,3.259,3.602,3.654676259
AVAX,1/5/21,3.602,4.363,3.489,4.262,18.3231538
AVAX,1/6/21,4.262,4.974,4.143,4.58,7.461285781
AVAX,1/7/21,4.58,4.817,4.197,4.47,-2.401746725
AVAX,1/8/21,4.47,5.863,4.036,5.735,28.29977629
AVAX,1/9/21,5.735,7.491,5.608,7.223,25.94594595
AVAX,1/10/21,7.223,7.498,6.156,6.551,-9.303613457
AVAX,1/11/21,6.551,7.003,5.747,6.472,-1.20592276
AVAX,1/12/21,6.472,8.238,6.43,7.737,19.54573548
AVAX,1/13/21,7.737,8.497,7.15,8.466,9.422256689
AVAX,1/14/21,8.466,9.565,8.208,9.319,10.0755965
AVAX,1/15/21,9.319,9.881,8.601,9.392,0.783345853
AVAX,1/16/21,9.392,13.47,9.165,12.83,36.60562181
AVAX,1/17/21,12.83,14.55,12.34,13.18,2.727981294
AVAX,1/18/21,13.18,13.85,12.6,12.7,-3.641881639
AVAX,1/19/21,12.7,13.37,11.59,11.76,-7.401574803
AVAX,1/20/21,11.76,13.04,11.04,12.38,5.272108844
AVAX,1/21/21,12.38,12.99,11.09,11.33,-8.481421648
AVAX,1/22/21,11.33,13.39,10.7,12.73,12.35657546
AVAX,1/23/21,12.73,13.49,12.53,12.89,1.256873527
AVAX,1/24/21,12.89,13.2,12.23,12.49,-3.10318076
AVAX,1/25/21,12.49,12.95,12.07,12.18,-2.481985588
AVAX,1/26/21,12.18,12.72,11.41,12.19,0.082101806
AVAX,1/27/21,12.19,12.22,10.81,11.17,-8.367514356
AVAX,1/28/21,11.17,12.78,10.84,11.98,7.251566697
AVAX,1/29/21,11.98,12.67,11.37,11.62,-3.005008347
AVAX,1/30/21,11.62,12.66,11.31,12.06,3.786574871
AVAX,1/31/21,12.06,15.36,11.85,13.49,11.85737977
AVAX,2/1/21,13.49,13.62,12.59,13.23,-1.927353595
AVAX,2/2/21,13.23,13.7,12.81,13.5,2.040816327
AVAX,2/3/21,13.5,14.95,13.22,14.85,10
AVAX,2/4/21,14.85,15.89,13.92,15.32,3.164983165
AVAX,2/5/21,15.32,18.03,15.13,17.89,16.77545692
AVAX,2/6/21,17.89,18.61,15.92,18.07,1.006148686
AVAX,2/7/21,18.07,24.43,17.95,23.79,31.65467626
AVAX,2/8/21,23.79,33.78,23.64,30.15,26.73392182
AVAX,2/9/21,30.15,33.03,27.52,31.7,5.140961857
AVAX,2/10/21,31.7,60.22,31.4,54.97,73.40694006
AVAX,2/11/21,54.97,56.4,41.76,46.99,-14.51700928
AVAX,2/12/21,46.99,54.56,43.64,48.44,3.085762928
AVAX,2/13/21,48.44,51.87,43.01,43.14,-10.94137077
AVAX,2/14/21,43.14,44.03,38.01,38.45,-10.8715809
AVAX,2/15/21,38.45,43.89,33.56,38.09,-0.936280884
AVAX,2/16/21,38.09,39.54,34.95,36.34,-4.594381727
AVAX,2/17/21,36.34,41.31,34.06,36.92,1.596037424
AVAX,2/18/21,36.92,43.68,35.82,41,11.05092091
AVAX,2/19/21,41,41.26,37.59,38.77,-5.43902439
AVAX,2/20/21,38.77,42.81,32.62,36.03,-7.067320093
AVAX,2/21/21,36.03,37.98,34.89,36.17,0.388565085
AVAX,2/22/21,36.17,36.27,26.63,32.26,-10.81006359
AVAX,2/23/21,32.26,32.35,23.56,27.59,-14.47613143
AVAX,2/24/21,27.59,32.25,25.33,29.82,8.082638637
AVAX,2/25/21,29.82,32.22,26.53,26.78,-10.19450034
AVAX,2/26/21,26.78,28.05,24.93,25.97,-3.024645258
AVAX,2/27/21,25.97,27.5,25.09,25.81,-0.616095495
AVAX,2/28/21,25.81,25.97,22.21,23.99,-7.051530415
