ticker,date,open,high,low,close,return
BNB,9/8/17,1.3,1.31,0.8887,1.01,
BNB,9/9/17,1.01,1.04,0.8627,0.9706,-3.900990099
BNB,9/10/17,0.9507,0.9889,0.8747,0.9468,-2.45209149
BNB,9/11/17,0.9406,1.11,0.9149,1.05,10.89987326
BNB,9/12/17,1.03,1.16,0.9898,1.04,-0.952380952
BNB,9/13/17,0.9664,0.9664,0.8631,0.9374,-9.865384615
BNB,9/14/17,0.7855,0.792,0.6583,0.6882,-26.58416898
BNB,9/15/17,0.7881,0.8467,0.6481,0.8025,16.60854403
BNB,9/16/17,0.7993,0.9062,0.7509,0.7997,-0.348909657
BNB,9/17/17,0.7977,0.8169,0.7652,0.7914,-1.037889208
BNB,9/18/17,0.8795,0.9431,0.8619,0.9053,14.39221633
BNB,9/19/17,0.8629,0.8754,0.7816,0.8254,-8.825803601
BNB,9/20/17,0.8199,0.8199,0.7415,0.7764,-5.936515629
BNB,9/21/17,0.7235,0.7314,0.68,0.7018,-9.608449253
BNB,9/22/17,0.6986,0.7166,0.6798,0.7158,1.994870333
BNB,9/23/17,0.7534,0.7803,0.7493,0.7716,7.795473596
BNB,9/24/17,0.7471,0.7848,0.7335,0.7848,1.710730949
BNB,9/25/17,0.8416,0.9344,0.8129,0.9262,18.01732926
BNB,9/26/17,0.9167,0.9342,0.8568,0.8642,-6.694018571
BNB,9/27/17,0.9351,1.22,0.9267,1.15,33.07104837
BNB,9/28/17,1.15,1.44,1.14,1.38,20
BNB,9/29/17,1.37,1.39,1.16,1.27,-7.971014493
BNB,9/30/17,1.33,1.37,1.25,1.29,1.57480315
BNB,10/1/17,1.3,1.54,1.28,1.52,17.82945736
BNB,10/2/17,1.52,1.98,1.51,1.97,29.60526316
BNB,10/3/17,1.93,1.98,1.68,1.84,-6.598984772
BNB,10/4/17,1.8,1.82,1.52,1.64,-10.86956522
BNB,10/5/17,1.68,1.75,1.46,1.69,3.048780488
BNB,10/6/17,1.71,1.75,1.53,1.61,-4.733727811
BNB,10/7/17,1.64,1.64,1.52,1.59,-1.242236025
