Date,USD,Euro,GBP,JPY,CNY,ARS,MSCI,Natural_Gas,Brent_Oil,Crude_Oil,Heating_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,Merval,SHCOMP,BTC,ETH,BNB,USDC,USDT,XRP,
9/30/22,,,,,,,-0.94,-1.57,-0.6,-2.14,-1.34,1.75,0.2,0.34,1.51,1.16,-1.71,0.18,1.45,-1.83,0.8,-0.55,-0.373595159,-0.722533594,-0.399393828,-0.009997001,-0.009999,-1.45,
10/3/22,1,0.265767147,1.23944674,-0.145117822,-0.044984888,0.209785677,2.16,-4.37,1.02,5.21,0,8.14,1.79,2.36,0.55,0.79,2.66,0.22,1.57,1.07,4.28,,1.865385918,1.34780837,-0.024842547,0.019998,0.01,3.12,
10/4/22,1,1.712712815,1.543647977,-0.124567474,0,0.603043835,3.37,5.67,3.31,3.46,4.95,2.48,1.67,1.75,4.24,3.78,2.8,2.57,3.42,2.96,-0.09,,3.789784814,3.033774352,3.520818678,0,0.019998,3.74,
10/5/22,1,-1.112558885,-1.493971693,0.284090909,0,0.219876396,-0.46,1.36,1.71,1.43,4.27,-2.63,-0.56,-0.76,-0.9,-1.21,-0.14,-0.48,-1.52,0.48,1.24,,-1.186915842,-0.70831646,-1.024378865,0,-0.009997001,1.9,
10/6/22,1,-0.608149199,-1.259423503,0.145097768,0,0.205231976,-0.87,0.61,1.12,0.79,4.83,0.56,0,0.05,-0.82,-0.37,-1.15,-0.78,-1.03,0.7,-1.42,,-0.708537352,0.235812329,-4.444611438,-0.012996101,-0.0029994,1,
10/7/22,1,-0.214154599,-0.152699183,0.172485166,0,0.19992293,-2.45,-3.21,3.71,4.74,3.98,-1.96,-0.67,-0.79,-1.17,-1.59,-2.11,-0.09,-1.13,-0.71,,,-1.710414647,-1.334605796,1.105641884,-0.00299949,-0.00299949,4.9,
10/10/22,1,-0.286152274,0.467794171,0.247950961,0.753835984,0.591575871,-0.91,-4.64,-1.77,-1.63,-2.59,-3.16,-1.99,-2.1,-0.45,0,-0.32,-0.45,0.05,,,-1.66,-1.225220971,-1.143215985,-1.215350127,-0.019996001,-0.029994001,-7.3,
10/11/22,1,-0.286152274,0.467794171,0.247950961,0.753835984,-0.586398758,-0.81,2.5,-1.98,-1.95,0.41,-0.65,0.64,0.53,-0.13,-0.43,0.12,-1.06,-0.87,-2.64,-5.3,0.19,-1.241977811,-2.311342415,-1.745625934,0.011,0.0010001,-1.55,
10/12/22,1,-0.666188378,-0.64469914,0.906904844,0.113066905,0.999219196,-0.36,-2.44,-1.95,-2.33,0.05,-2.82,-0.5,-0.71,-0.25,-0.39,-0.1,-0.86,-1.27,-0.02,-0.43,1.53,0.931884554,1.841899091,0.346074552,0.01199868,0.01200108,0.43,
10/13/22,1,0.907965332,2.235039654,0.190644788,-0.027886224,0.222266622,1.86,4.76,2.29,2.11,4.12,-0.11,-0.03,-0.04,1.04,1.51,2.83,0.35,1.56,-0.6,3.2,-0.3,1.157359136,-0.38002631,0.705991708,-0.00499885,0.00499985,-1.86,
10/14/22,1,-0.419222904,-1.19887165,0.890248046,0.271966527,0.185255985,-1.45,-4.27,-4.67,-3.93,-12.02,-4.48,-1.68,-1.93,0.9,0.67,-1.34,0.12,0.7,3.25,-2.47,1.84,-1.520851801,-0.227032286,-1.725501974,-0.00399928,-0.00399968,1.95,
10/17/22,1,1.067871445,1.953961456,0.168395527,0.070936783,0.065961284,2.32,-7.04,0.03,-0.18,2.35,3.59,0.92,1.15,1.83,1.7,1.86,0.9,1.86,-1.16,1.21,0.42,1.916076977,2.888734246,1.324679058,0.00799968,-0.00299985,0.67,
10/18/22,1,-0.010159504,-1.050144395,0.349673862,0.076446224,0.726295133,1.07,-4.23,-1.75,-3.09,-1.58,-0.64,-0.49,-0.51,0.44,0.92,1.12,0.24,0.93,1.42,-1.02,-0.13,-1.123215512,-1.505268062,-0.687146469,0.00299964,0.00199996,-2.92,
10/19/22,1,-0.629953262,-0.663305917,0.361857535,0.387494618,0.217371068,-0.76,-4.93,2.21,3.3,-1.89,-1.3,-1.3,-1.3,-0.43,-0.19,-0.33,-0.17,-0.22,0.37,-0.77,-1.19,-0.524455592,-1.231468836,0.140651097,-0.00499925,-0.00399984,-3.26,
10/20/22,1,0.439672802,0.498575499,0.033384523,-0.208909795,0.227134096,-0.41,-1.9,-0.12,0.5,-2.16,1.8,0.16,0.3,0.76,0.2,-0.3,0.27,1.07,-0.92,-0.25,-0.31,-0.646522532,-0.767869972,-1.57973665,-0.0169983,-0.01,-0.89,
10/21/22,1,0.325766059,0.035435861,-2.316112669,0.374329327,0.211197873,1.37,-7.45,0.98,-1.08,1.99,2.02,1.19,1.27,-0.85,-0.29,2.47,0.37,-0.62,-0.43,2.06,0.13,0.445705237,1.138141762,0.089564109,0.02500175,0.0180018,3.26,
10/24/22,1,0.192795535,0.026567481,1.646737274,0.317683946,0.215783034,1.24,4.84,-0.14,-0.55,0.39,0.65,-0.13,-0.06,1.59,1.58,1.34,0.64,1.93,0.31,0.57,-2.02,-0.894017706,0.903650509,-0.627685016,-0.00899793,-0.00899883,-3.34,
10/25/22,1,0.860846668,1.540504648,-0.611723582,0.081234768,0.551459519,1.78,7.96,0.58,0.87,0.42,0.83,0.24,0.29,1.94,0.94,1.07,-0.01,1.4,1.02,3.02,-0.04,4.482528929,9.880048633,5.150121978,0.01799748,0.0299988,1.63,
10/26/22,1,1.094487398,1.272996774,-0.913087589,-1.345476557,0.267223008,-0.07,-0.12,4.31,3.04,15.01,0.71,0.68,0.68,0.41,1.09,0.01,0.61,0.45,0.67,0.74,0.78,2.524908077,4.655399251,0.796196068,-0.013995521,-0.005997961,1.83,
10/27/22,1,-0.82439412,-0.352991821,-0.327645051,0.737693488,0.192412833,-0.48,-7.49,1.33,1.33,5.19,0.04,-0.22,-0.19,-0.51,0.12,0.61,0.25,0.9,-0.32,2.12,-0.55,-1.629766742,-1.730973794,-1.057350206,-0.01199784,-0.021993842,-1.58,
10/28/22,1,-0.510766149,-0.008640055,1.136830571,0.359916389,0.206037015,1.48,9.6,-1.23,-1.32,4.98,-1.78,-1.25,-1.3,0.46,0.24,2.59,-0.37,-0.27,-0.88,-0.18,-2.25,0.943784547,2.101292397,3.816306672,0.0149991,0.01399916,2.8,
10/31/22,1,-0.493255486,-0.501166508,0.643282774,0.757251824,0.299977474,-0.52,11.81,-0.98,-1.56,-7.89,-0.15,-0.25,-0.24,-0.1,0.08,-0.39,0.66,0.55,1.78,1.42,-0.77,-0.545383906,-1.367066917,5.126383368,0.002,-0.025994801,1.38,
11/1/22,1,-0.14162873,-0.477637864,-0.349862074,-0.435330194,0.473975242,-0.05,-10.09,-0.19,2.13,-13.6,2.87,0.55,0.76,0.98,0.64,-0.24,1.29,0.63,0.33,2.04,2.62,-0.012696118,0.824582918,-1.038723819,0.01799964,-0.00400024,-0.16,
11/2/22,1,0.040522743,0.061082024,-0.675173857,0.21999175,0.239176022,-1.83,9.7,1.6,1.84,1.55,-0.37,0.02,-0.02,-0.81,-0.61,-1.55,-0.58,0.03,-0.06,-2.41,1.15,-1.797705618,-4.253270406,-1.595666138,-0.0059988,0.0040004,-2.95,
11/3/22,1,-1.174683544,-2.47667219,0.727346883,0.150912334,0.195327533,-1.28,-4.67,-1.55,-2.03,5.11,-0.84,-1.16,-1.13,-0.54,-0.95,-0.46,0.62,-0.43,,0.76,-0.19,0.435150189,1.29614069,3.944904511,0.00599916,0.00600036,1.1,
11/4/22,1,1.393585408,0.858445855,-0.64786071,-0.005479452,0.170614677,1.59,7.11,4.12,5.04,1.28,6.97,2.8,3.19,2.77,2.51,1.26,2.03,2.54,-1.68,0.54,2.43,4.871382239,7.758981058,5.963308271,-0.0029994,0.008,11.23,
11/7/22,1,1.030823648,1.631350297,-0.393968211,-1.000054798,0.614688177,1.05,8.5,-0.66,-0.89,-3.42,0,0.23,0.44,0,0.55,1.31,-0.48,0.9,1.21,-2.27,0.23,-3.200522225,-2.667665325,-4.692888487,-0.00599892,0.00499965,-1.27,
11/8/22,1,0.920276083,1.151531013,-0.859247136,0.303047076,0.325607297,0.84,-11.61,-2.61,-3.14,-0.28,2.79,2.11,2.34,0.39,1.15,1.02,0.08,0.86,1.25,0.06,-0.43,-9.526625195,-15.13264632,-4.896615976,0.307963044,0.287965444,-12.69,
11/9/22,1,-0.515412826,-1.716257007,0.529646444,-0.115886045,0.231378659,-1.77,-4.45,-2.84,-3.46,-3.03,-0.81,-0.13,-0.04,-0.17,-0.16,-1.95,-0.14,0.36,-0.56,-3.27,-0.53,-13.02351708,-14.35965635,-13.62629445,1.288875598,1.11665005,-18.22,
11/10/22,1,1.384875959,2.465777466,-2.990078686,-0.774851176,0.189333888,5.05,6.38,1.1,0.75,-2.38,1.76,2.33,2.43,1.96,3.51,3.7,1.08,2.58,-0.98,1.25,-0.39,11.08302801,17.22178597,12.27211362,-0.848316652,-0.96627884,18.86,
11/11/22,1,1.582154088,0.436756016,-0.952179433,-1.572939866,0.19341024,1.42,-5.77,2.48,2.88,-0.4,-0.16,0.9,0.95,0.58,0.56,0.1,-0.78,0.25,2.98,3.82,1.69,-5.24662198,-3.487181803,-5.644409685,-0.388085478,-0.248904819,-2.64,
11/14/22,1,1.582154088,0.436756016,-0.952179433,-1.572939866,-0.415595944,-0.75,0.92,-2.97,-3.47,-0.32,2.06,0.42,0.57,0.22,0.62,-0.63,0.92,0.58,-1.06,1.51,-0.13,-0.165102961,-0.6799338,-0.335610561,-0.039984006,-0.01001402,10.56,
11/15/22,1,0.338589533,1.381309686,-0.761945453,-0.381841324,1.315917082,0.92,1.7,0.77,1.22,2.75,-2.69,-0.01,-0.21,0.49,0.46,0.17,-0.21,0.42,0.1,1.62,1.64,2.885231496,2.163759491,0.013803826,0.03,0.050075113,3.26,
11/16/22,1,0.221750868,-0.008410429,0.165040184,0.743895514,0.213831345,-0.77,2.75,-1.07,-1.53,-0.76,0.03,-0.06,-0.02,-0.52,-1,-0.12,-0.25,-0.68,0.14,-0.68,-0.45,-1.22125542,-2.358971887,-1.370748645,0.007997601,0.008008008,-3.99,
11/17/22,1,-0.519480519,-0.647657499,0.616089978,0.827179979,0.21577531,-0.57,2.73,-3.32,-4.62,-2.46,-2.55,-0.72,-0.91,-0.47,0.23,-0.02,-0.06,-0.78,-0.35,0.75,-0.15,0.260601184,-0.780909278,-1.200147303,-0.015993922,0.014012892,2.36,
11/18/22,1,0.077361957,0.761937013,-0.299038804,-0.501740018,0.198019325,0.63,-1.04,-2.41,-1.91,-0.19,0.1,-0.49,-0.43,1.04,1.16,0.59,0.53,1.38,-0.11,1.28,-0.58,-0.300649211,0.238853503,1.749965523,-0.016996261,-0.037028883,-0.19,
11/21/22,1,-1.072567398,-0.983028063,1.371134757,0.629284189,0.181551915,-0.69,7.5,-0.19,-0.44,-0.59,-0.6,-0.84,-0.8,-0.15,-0.36,-0.13,-0.12,-1.29,0.16,,-0.39,-3.392226148,-3.025947964,-3.904530665,0.051011222,0.031046881,0.9,
11/22/22,1,0.371166243,0.806109461,-0.464952448,-0.351758794,0.03323548,1.33,0.04,1.04,1.53,-0.74,1.71,0.02,0.09,0.35,0.29,1.18,1.03,0.96,0.61,0.58,0.13,2.828790433,2.674859931,4.920119988,-0.030991013,-0.002002403,3.08,
