Date,USD,Euro,GBP,JPY,CNY,ARS,MSCI,Natural_Gas,Brent_Oil,Crude_Oil,Heating_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,Merval,SHCOMP,BTC,ETH,BNB,USDC,USDT,XRP,
5/18/23,1,,,,,231.6179047,0.68,9.6,-1.43,-1.33,-0.83,-1.12,-1.26,-1.25,0.64,1.33,0.34,0.25,0.14,1.6,1.04,0.4,-1.641062728,-0.498769519,-0.913392057,0.009997001,-0.009995002,3.73233458,
5/19/23,1,-0.397448932,-0.320924262,-0.599277978,-0.419302111,0.220965215,0.09,-0.27,-0.37,-0.43,-1.68,1.81,1.11,1.18,0.61,0.69,-0.33,0.19,1.05,0.77,2.25,-0.42,-0.057186782,-0.05673712,-0.721865904,-0.019992003,-0.010995602,1.134780872,
5/22/23,1,0.120303535,0.3138833,0.711847171,0.415358264,-0.25412724,0.1,-7.16,0.54,0.61,0.18,-0.86,-0.22,-0.29,-0.18,-0.32,-0.42,0.18,-0.76,0.9,0.09,0.39,0.57097589,0.957104855,0.990863593,0.009998,-0.009994004,0.185661861,
5/23/23,1,0.324946616,0.016099171,0.064911648,0.197580702,1.201955284,-1.01,-3.29,1.12,1.28,-0.2,-0.99,-0.14,-0.22,-1.33,-0.44,-0.69,-0.1,-0.5,-0.42,0.53,-1.52,1.068960392,1.522778549,1.104712126,-0.044986504,-0.043978011,0.692880238,
5/24/23,1,0.120840305,0.44469599,0.288309067,0.134770889,0.251872503,-1,3.32,1.98,1.96,2.2,-1.6,-0.5,-0.59,-1.7,-1.92,-0.77,-1.75,-2.39,-0.89,0.26,-1.28,-3.068190591,-2.660307882,-2.510458916,0.01900285,-0.01199928,-2.532202068,
5/25/23,1,0.307692308,0.348884381,0.481529395,0.269179004,0.350679409,0.29,-3.79,-2.68,-3.38,-2.8,-1.42,-1.06,-1.08,-0.33,-0.31,-0.11,-0.74,-0.44,0.39,,-0.11,0.415290267,0.41606257,-0.233386361,0.00899964,0.00800048,0.141728558,
5/26/23,1,0.112013442,-0.137741047,0.514984622,-0.204874603,-0.002666788,1.11,-5.46,0.9,1.17,0.98,1.95,0.03,0.21,1.24,1.2,1,0.74,1.16,0.37,,0.35,0.959337679,1.323228412,0.870110142,-0.02299701,0.01799964,3.395788163,
5/29/23,1,-0.083939564,-0.491816496,-0.498114282,0.229364293,0.167177646,0.09,-3.53,0.16,-0.48,0,0.71,1.69,,-0.21,-0.2,,,-0.36,1.03,1.38,0.28,-0.597671094,1.207966046,-0.089545916,0.00699979,0.00699839,1.646777102,
5/30/23,1,-0.083939564,-0.491816496,-0.498114282,0.229364293,0.893641538,-0.17,-0.94,-4.58,-4.68,-3.73,-0.62,,0.6,-1.29,-0.27,-0.15,-1.38,-0.16,0.3,-0.86,0.09,0.199457995,0.811210999,0.394804894,0.0089991,0.008997301,6.217451572,
5/31/23,1,0.638257931,0.056469829,-0.035757706,0.43507741,0.251835863,-0.89,-2.62,-1.2,-1.97,-0.93,-0.12,0.25,0.37,-1.54,-1.54,-0.41,-1.01,-1.97,-1.41,-0.38,-0.61,-2.290282796,-2.195306189,-2.231202923,-0.032993731,-0.022991033,-1.349406019,
6/1/23,1,-0.911458333,-1.116783663,-0.744026327,-0.23347398,0.264939231,1.11,-4.77,2.23,2.95,2.44,1.5,0.68,0.77,0.55,1.21,0.47,0.59,2.01,0.84,3.3,0,-0.729652225,0.266560829,0.012109351,0.02300322,0.01199808,-0.903986503,
6/2/23,1,0.261096606,0.545396214,0.735188122,-0.150844447,0.299049237,1.47,0.65,2.49,2.34,1.82,1.7,-1.3,-1.27,1.87,1.25,2.12,1.56,1.85,1.21,-0.12,0.79,1.179667923,1.897874252,0.619792792,-0.00299973,-0.00199944,2.987169758,
6/5/23,1,0.027982464,0.225080386,-0.085861477,0.314851681,0.626352018,-0.11,3.36,0.76,0.57,0.87,-0.47,0.24,0.17,-0.96,-0.54,-0.59,-0.1,-0.78,2.2,2.24,0.07,-5.638654134,-4.996793895,-10.14264318,0.00799984,-0.00199936,-6.725387124,
6/6/23,1,0.243104254,0.177162184,0.021483816,0.197044335,0.321580668,0.27,0.76,-0.55,-0.57,-0.41,0.15,0.36,0.34,0.11,0.18,0.03,0.37,0.67,0.9,5.52,-1.15,5.436434042,4.019805815,2.911398854,0.0089991,-0.0009997,5.08227279,
6/7/23,1,-0.065408335,-0.265038953,0.221951743,0.136255092,0.301330421,-0.4,2.96,0.87,1.1,1.44,-0.6,-1.17,-1.1,-0.09,-0.2,0.27,-0.05,0.07,-1.82,-0.09,0.08,-3.357854638,-3.061892023,-8.965917208,-0.017996581,-0.017994782,-2.851783215,
6/8/23,1,-0.723562152,-0.765123137,-0.821545935,-0.249694895,0.145795495,0.54,0.99,-1.29,-1.71,-0.5,3.48,1.03,1.27,0.27,0.18,0.5,-0.32,0.81,-0.85,0.13,0.49,1.613772695,1.61962867,2.182746244,0.01699983,0.00699923,2.32140739,
6/9/23,1,0.288398921,-0.254392241,0.374558813,0.230631847,0.352257915,0.12,-4.17,-1.54,-1.57,-1.21,0.25,-0.07,-0.02,-0.12,-0.25,0.13,-0.49,-0.41,1.97,0.22,0.55,-0.391298132,-0.846039219,-0.417796059,-0.026995141,-0.037993161,2.489001226,
6/12/23,1,0.018609845,0.720634158,0.265518479,0.23010116,0.038258074,0.71,0.53,-3.94,-4.35,-2.2,-1.44,-0.38,-0.46,0.52,0.93,0.56,0.11,0.91,0.52,-0.02,-0.08,-0.481252638,-1.181771808,-2.565561301,0.0140014,-0.036984836,0.805185917,
6/13/23,1,-0.416975537,-0.967409404,0.200400802,0.207175553,0.911002346,0.81,3.27,3.41,3.43,3.74,-0.99,-0.56,-0.59,0.56,0.83,0.43,0.32,0.57,1.8,0.06,0.15,-0.337426152,-0.256388196,4.524045344,0.01299948,-0.01699932,-1.116777067,
6/14/23,1,-0.616999724,-0.669502205,-0.478571429,-0.146678773,0.160417857,0.34,0.09,-1.47,-1.66,-1.58,1.19,0.53,0.59,0.52,0.49,-0.68,0.1,0.88,1.47,-0.84,-0.14,-2.805669379,-4.882747358,-1.692397453,-0.01599728,0.00400052,-7.743099771,
6/15/23,1,-0.676849904,-0.51716032,0.832555803,-0.251818691,0.326755731,0.91,8.16,3.37,3.44,5.17,-0.89,0.09,0.02,-0.51,-0.13,1.26,0.34,-0.28,-0.05,3.47,0.74,1.729368207,0.686186195,-0.326628195,0.00599994,-0.074006661,-0.177941491,
6/16/23,1,0.073226545,-0.413577838,0.946686597,-0.070126227,0.216352237,-0.14,3.91,1.24,1.64,2.9,0.77,0.03,0.09,1.34,0.41,-0.32,0.19,0.47,0.66,4.49,0.63,2.832108447,3.0232614,0.733943404,0.03399762,0.004003323,-1.972715592,
6/19/23,1,0.229357798,0.651900723,-0.253842899,0.787368421,0.019755993,-0.24,1.58,-0.68,-0.22,-1.39,-0.56,-1.19,,-1.01,-0.96,,-0.71,-0.39,-1,,-0.54,1.335135729,0.433841996,-0.275145593,-0.00799944,-0.00800184,1.304442366,
6/20/23,1,0.229357798,0.651900723,-0.253842899,0.787368421,0.316518655,-0.53,-5.71,-0.25,-1.14,-1.35,-3.61,,-1.43,-0.27,-0.55,-0.72,-0.25,-0.64,0.06,,-0.47,5.1278123,2.640317392,0.351376431,0.03600036,0.046014264,-0.68300506,
6/21/23,1,-0.465710894,-0.039255712,0.445355578,-0.044561418,0.001885164,-0.4,4.21,1.61,2.88,3.59,-1.81,-0.14,-0.3,-0.46,-0.55,-0.3,-0.13,0.12,0.56,5.01,-1.31,6.213789623,5.51051296,1.966489539,-0.029989504,-0.0099985,1.396812063,
6/22/23,1,-0.018259837,-0.101960784,0.563023436,-0.00278633,1.0296085,0.09,0.42,-3.86,-4.16,-3.85,-1.48,-1.09,-1.13,-0.79,-0.22,-0.01,-0.76,-0.72,-0.92,-3.42,,0.595668353,0.253296859,-1.999500226,-0.01499925,0.0159992,-0.406374101,
6/23/23,1,0.606227611,0.385796394,0.622856743,0,0.277186128,-0.96,4.64,-0.39,-0.5,-2.37,-0.48,0.31,0.23,-0.55,-0.99,-0.65,-0.54,-0.73,-1.45,1.34,,2.053199558,0.260103616,0.572072498,0.0380038,0.037992022,-0.366037827,
6/26/23,1,-0.210815765,-0.180760767,-0.159966616,0.817810719,0.034060898,-0.26,2.27,0.45,0.3,1.32,2.14,0.22,0.39,0.29,-0.11,-0.04,-0.11,0.12,-0.25,2.77,-1.48,-0.974354261,-2.37368224,-1.482082227,0.01900152,-0.010996481,-3.170646704,
6/27/23,1,-0.465286014,-0.2195734,0.313479624,-0.236305345,0.690563894,0.91,-1,-2.59,-2.41,-1.63,0.59,-0.52,-0.42,0.43,0.21,0.63,0.11,0.58,-0.49,-3.71,1.23,1.851520335,2.423833189,1.959487991,-0.01299857,-0.00299937,1.97579457,
6/28/23,1,0.522743947,0.910026114,0.159722222,0.336597731,0.31981027,0.13,-5.79,2.45,2.75,0.32,-0.31,-0.08,-0.1,0.98,0.64,-0.22,0.52,0.86,2.02,-1.62,0,-1.916485748,-3.494069312,-3.491003711,0.01100022,-0.018996581,-4.208988064,
6/29/23,1,0.211377631,0.158516288,0.339735145,0.109061792,0.259780867,0.31,3.76,0.42,0.43,0.37,-1.21,-0.22,-0.32,0.36,-0.01,0.8,-0.38,1.05,0.12,1.67,-0.22,0.9258614,1.15421189,1.15692377,-0.01299883,-0.01100011,2.05539814,
6/30/23,1,-0.357142857,-0.723896451,-0.172747374,-0.00275805,0.118369885,1.12,3.59,0.75,1.12,1.35,0.97,0.6,0.63,1.19,1.26,0.84,0.8,1.08,-0.14,2.36,0.62,0.184459986,4.334014069,2.978570235,0.0200008,-0.02200264,0.507564913,
7/3/23,1,0.009158348,0.110279638,0.020765557,-0.155834126,-0.517168059,0.18,-3.18,-0.33,-1.2,-2.9,1.32,0.01,0.04,-0.18,-0.41,0.03,-0.06,0.77,1.7,2.43,1.31,1.610591554,1.906120197,0.73109538,0.00699937,-0.00199982,1.178155982,
7/4/23,1,0.469267575,-0.118017309,0.041522491,0.089779006,1.214136265,-0.01,1.55,2.14,1.82,2.41,0.24,-0.12,,-0.23,-0.26,,-0.1,-0.21,-0.98,1.11,0.04,-0.77900581,-0.795791194,-1.966706696,-0.01399776,0.01499895,0.056063216,
7/5/23,1,0.469267575,-0.118017309,0.041522491,0.089779006,0.475531828,-0.37,-3.42,0.52,1.03,2.42,1.01,,0,-0.8,-0.63,-0.38,-1.03,-0.59,-0.25,-1.07,-0.69,-1.089239058,-1.605894286,-1.491010629,0.01399972,-0.00599868,-2.358243628,
7/6/23,1,-0.045985469,-0.086471189,-0.325124516,0.048299179,0.148901971,-1.22,-1.81,-0.17,0.01,-0.56,-2.19,-0.61,-0.75,-3.13,-2.57,-1.07,-2.17,-2.53,-1.7,-4.39,-0.54,-0.829863265,-1.839845528,-1.866955845,-0.024996001,-0.024996001,-1.951511699,
7/7/23,1,-0.829989055,-0.911356909,-1.304740093,-0.406896552,0.307049042,-0.01,-1.03,2.55,2.87,3.21,1.74,0.89,0.97,0.42,0.48,-0.55,-0.32,0.99,-1.17,1.44,-0.28,0.233935544,-0.376891789,0.317861242,0.00900081,0.01900171,-0.237313044,
7/10/23,1,-0.245655536,0.007789982,-0.457070529,0.15234402,-0.712516007,0.23,3.37,-0.99,-1.18,-0.23,0.24,-0.08,0.32,0.45,0.45,0.62,0.23,0.34,-0.61,-0.66,0.22,0.533168873,0.926243568,4.49445398,0.00199984,0.00199964,1.668361157,
7/11/23,1,-0.009097525,-0.496085575,-0.741734953,-0.311138768,1.563628709,0.75,2.32,2.2,2.52,1.19,-0.27,0.32,0.62,1.07,0.75,0.93,0.12,0.68,0.04,0.47,0.55,0.826844239,-0.385579538,1.32952535,-0.0079992,-0.017996401,0.003151294,
7/12/23,1,-1.177739818,-0.708073578,-1.636894171,-0.602025246,0.251160567,1.15,-4.91,0.89,1.23,0.62,4.42,1.27,1.91,1.57,1.47,0.25,1.83,1.75,-0.81,2.08,-0.78,-0.704593926,-0.196734946,-1.616915924,-0.0099998,-0.00399992,-1.243461272,
7/13/23,1,-0.634268358,-0.794074979,-0.050647565,-0.217706821,0.290068185,1.09,-2.43,1.56,1.5,0.42,2.63,0.11,0.7,0.5,0.74,0.14,0.32,0.78,1.49,4.54,1.26,3.000454614,5.967637679,3.773059063,0.00800064,0.04100082,68.52247756,
7/14/23,1,-0.382664412,-0.12201632,0.434341972,-0.135664336,0.147967258,-0.06,-0.16,-1.83,-1.91,-0.48,0.98,0.03,0.47,0.06,-0.22,0.33,-0.08,-0.39,-0.09,-1.74,0.04,-3.228406394,-2.681938255,-2.755935055,0.019,0.009996102,-8.981973191,
7/17/23,1,0.008899964,0.267625019,0.12973908,0.431354425,0.262816867,0.13,-1.03,-1.72,-1.68,-1.3,-0.7,-0.41,-0.42,-1.12,-0.23,0.22,-0.38,-0.19,,3.05,-0.87,-0.18972765,-0.735244624,-0.110742424,-0.00899856,-0.028986666,-1.759962375,
7/18/23,1,0.115833556,0.183851693,0.014396775,0.104586465,0.63250588,0.68,4.55,1.44,2.16,1.37,0.95,1.25,1.2,0.38,0.35,1.06,0.64,0.34,0.32,0.01,-0.37,-1.460208733,-1.019231873,-1.713296869,0.00499965,0.00499915,3.273554179,
7/19/23,1,0.250111657,1.209489843,0.590182813,0.660295879,0.291108303,0.18,-1.26,-0.21,-0.53,1.63,0.52,0,0.05,0.11,-0.1,0.31,1.8,0.02,1.24,-0.8,0.03,0.423720284,-0.19445718,0.643072095,-0.02299724,-0.022994941,8.427814144,
7/20/23,1,0.538841491,0.381352634,0.450772753,-0.69056186,0.226424577,-0.6,5.65,0.23,0.37,0.86,-1.56,-0.5,-0.6,0.79,0.59,0.47,0.76,0.36,-1.23,1.3,-0.92,-0.214139916,0.190611965,0.529367489,-0.00800088,-0.00800008,-3.826624971,
7/21/23,1,0.134892086,-0.038898397,0.968729967,0.139351458,0.186803963,-0.03,-0.88,1.8,1.9,3.05,-0.55,-0.22,-0.24,0.65,-0.17,0.01,0.23,0.14,-0.57,3.02,-0.06,0.102445296,-0.18234423,0.175663779,0.030005701,0.01100099,-3.360646731,
7/24/23,1,0.333844627,0.202681634,-0.395061728,-0.008349452,0.005487335,0.29,-0.81,2.06,2.17,0.9,-1.63,-0.22,-0.3,-0.07,0.08,0.52,0.19,0.18,1.23,-1.33,-0.11,-2.606532193,-1.624126228,-1.24910527,0.01100143,-0.0100002,-3.783053859,
7/25/23,1,0.298642534,-0.37278658,-0.198314328,-0.716721175,0.890648364,0.26,1.68,1.09,1.13,0.26,1,0.08,0.17,-0.16,0.13,0.08,0.17,0.2,-0.06,1.03,2.13,0.217395031,0.648370961,-0.45710886,-0.0050001,0.0050006,0.443978672,
7/26/23,1,-0.252753205,-0.417633411,-0.35483642,0.228483319,0.217408538,-0.02,-2.38,-0.86,-1.07,2.35,0.59,0.33,0.36,-1.35,-0.49,0.23,-0.19,0.05,-0.04,-0.07,-0.26,0.822187779,0.529754357,0.642722754,0.02100147,0.01100077,1.364681001,
7/27/23,1,0.727404983,0.466200466,0.441563991,0.317469197,0.31474276,-0.34,-6.49,1.59,1.66,2.6,-2.41,-1.24,-1.32,2.05,1.7,-0.67,0.21,2.13,0.68,-4.43,-0.2,-0.977018516,-0.668590669,0.554138263,-0.040994261,-0.03099876,-0.573352862,
7/28/23,1,-0.371410454,0,-0.219811388,-0.337376272,0.206444745,0.77,5.86,0.89,0.61,1.43,1.04,2.79,0.72,0.15,0.39,0.5,0.02,-0.33,-0.4,1.68,1.84,0.459572368,0.954487004,0.690415289,0.035009453,0.025006752,-0.534549885,
7/31/23,1,0.172413793,0.101112235,1.037521319,-0.086727842,-0.309163267,0.21,-0.15,0.67,1.51,1.09,1.95,0.47,0.6,0.29,-0.14,0.28,0.07,0.49,1.26,-0.14,0.46,0.092772635,-0.262701257,-0.255597123,0.01200228,-0.00800072,-0.831892627,
8/1/23,1,0.44663203,0.839215686,0.815867211,0.48861759,1.136676938,-0.51,-2.81,-0.76,-0.53,1.09,-2.59,-1.51,-1.62,-1.22,-1.26,0.2,-0.43,-0.97,0.92,-0.9,0,-0.02872944,-0.411518201,1.621136037,0.03600252,-0.034005781,0.853769118,
8/2/23,1,0.29253131,0.298930145,-0.090693456,0.202020202,0.326912751,-1.58,-3.24,-2.01,-2.31,-0.63,-1.87,-0.19,-0.35,-1.26,-1.36,-0.98,-1.36,-1.3,-2.3,-1.72,-0.89,-0.229217343,-0.331007626,-1.512577656,-0.035989563,-0.006003062,-2.234813029,
8/3/23,1,-0.073079382,0.023605319,-0.551637455,-0.374026696,0.435571992,-0.35,3.55,2.33,2.59,2.35,-0.73,-0.31,-0.35,-0.72,-0.79,-0.19,-0.43,-0.94,-1.68,-0.83,0.58,0.185852573,-0.234428418,-0.43720684,0.01600112,-0.024013688,-2.941855887,
8/4/23,1,-0.806451613,-0.516634051,-0.442353602,0.080947928,0.242734406,-0.12,0.47,1.29,1.56,-0.41,0.08,0.37,0.34,0.75,0.37,-0.43,0.47,-0.41,0.1,2.28,0.23,-0.61470851,-0.563515116,0.306599364,0.085992261,0.016012971,-5.713276392,
8/7/23,1,0.327272727,0.046988801,0.465477114,0.259381668,-0.565466147,0.58,5.74,-1.04,-1.06,-1.53,-2.04,-0.31,-0.44,0.06,-0.01,1.16,-0.13,-0.14,0.19,0.18,-0.59,0.410771652,-0.207392815,-0.461374806,0.022906872,0.033049574,-0.784384207,
8/8/23,1,0.447447722,0.314243067,0.505440505,0.368593087,2.422079978,-0.52,1.91,0.97,1.2,2.32,-1.83,-0.51,-0.61,-0.69,-1.1,-0.45,-0.36,-2.12,0.38,3.05,-0.25,2.360247169,2.085915138,1.883048833,0.032102279,0.10211948,3.54663613,
