ticker,date,open,high,low,close,return
DAI,12/27/17,0.915159,1,0.886178,0.969767,
DAI,12/28/17,0.968816,1.05,0.917622,0.990096,2.096276735
DAI,12/29/17,0.992185,1.01,0.952251,0.998248,0.823354503
DAI,12/30/17,0.999102,0.999645,0.922517,0.990408,-0.785375979
DAI,12/31/17,0.986929,1,0.958197,0.996542,0.619340716
DAI,1/1/18,0.998458,1.02,0.982746,0.9901,-0.646435374
DAI,1/2/18,0.991888,1.05,0.980747,0.987869,-0.225330775
DAI,1/3/18,0.989061,1.01,0.982826,0.99305,0.524462252
DAI,1/4/18,0.997557,1.02,0.972775,1.01,1.706862696
DAI,1/5/18,1.01,1.02,0.954866,0.992699,-1.712970297
DAI,1/6/18,0.997491,1.01,0.987975,1,0.735469664
DAI,1/7/18,1,1.03,0.945163,0.990644,-0.9356
DAI,1/8/18,0.998917,1.03,0.959237,0.997669,0.709134664
DAI,1/9/18,0.99366,1.01,0.95361,0.998594,0.092716121
DAI,1/10/18,0.999151,1.04,0.743216,0.934961,-6.372259397
DAI,1/11/18,0.778917,1.03,0.720637,1,6.956332938
DAI,1/12/18,1.01,1.06,0.964405,0.99674,-0.326
DAI,1/13/18,0.996631,1.04,0.988338,1.02,2.333607561
DAI,1/14/18,1.02,1.04,0.987981,0.997733,-2.183039216
DAI,1/15/18,0.998339,1.01,0.990487,0.996509,-0.122678111
DAI,1/16/18,0.997144,1.04,0.924228,0.99547,-0.104263986
DAI,1/17/18,0.975613,1.03,0.945498,0.992339,-0.314524797
DAI,1/18/18,0.998447,1.01,0.975833,1,0.772014402
DAI,1/19/18,0.996044,1.01,0.979406,1,0
DAI,1/20/18,1,1.02,0.995654,0.998643,-0.1357
DAI,1/21/18,1,1.01,0.98267,1,0.135884395
DAI,1/22/18,1,1,1,1,0
DAI,4/7/20,1.015,1.024,1.009,1.021,2.1
DAI,4/8/20,1.021,1.041,1.019,1.029,0.783545544
DAI,4/9/20,1.03,1.032,1.013,1.025,-0.388726919
DAI,4/10/20,1.025,1.031,1.007,1.02,-0.487804878
DAI,4/11/20,1.02,1.03,1.013,1.027,0.68627451
DAI,4/12/20,1.027,1.027,1.014,1.021,-0.584225901
DAI,4/13/20,1.021,1.031,0.9999,1.019,-0.195886386
DAI,4/14/20,1.019,1.024,1.012,1.016,-0.294406281
DAI,4/15/20,1.017,1.024,1.01,1.017,0.098425197
DAI,4/16/20,1.017,1.046,1.006,1.024,0.688298918
DAI,4/17/20,1.025,1.026,1.01,1.016,-0.78125
DAI,4/18/20,1.015,1.04,1.009,1.022,0.590551181
DAI,4/19/20,1.022,1.025,1.004,1.015,-0.684931507
DAI,4/20/20,1.015,1.028,1.008,1.015,0
DAI,4/21/20,1.015,1.024,1.009,1.013,-0.197044335
DAI,4/22/20,1.013,1.021,1.009,1.015,0.197433366
DAI,4/23/20,1.015,1.034,1.008,1.017,0.197044335
DAI,4/24/20,1.018,1.024,1.008,1.019,0.196656834
DAI,4/25/20,1.018,1.029,1.007,1.018,-0.098135427
DAI,4/26/20,1.017,1.024,1.007,1.01,-0.785854617
DAI,4/27/20,1.01,1.023,1.004,1.019,0.891089109
DAI,4/28/20,1.018,1.024,1.01,1.017,-0.196270854
DAI,4/29/20,1.017,1.032,1.008,1.013,-0.393313668
DAI,4/30/20,1.013,1.021,1.003,1.016,0.296150049
