ticker,date,open,high,low,close,return
DOT,8/21/20,2.913,3.011,2.82,2.957,
DOT,8/22/20,2.957,4.49,2.957,4.49,51.84308421
DOT,8/23/20,4.49,4.511,3.717,3.981,-11.3363029
DOT,8/24/20,3.981,4.78,3.806,4.574,14.89575484
DOT,8/25/20,4.574,5.758,4.485,5.559,21.5347617
DOT,8/26/20,5.559,6.581,5.108,6.089,9.534088865
DOT,8/27/20,6.089,6.809,5.249,5.658,-7.078337987
DOT,8/28/20,5.658,6.352,5.502,6.183,9.278897137
DOT,8/29/20,6.183,6.563,6.021,6.146,-0.598415009
DOT,8/30/20,6.146,6.227,5.721,5.897,-4.051415555
DOT,8/31/20,5.897,6.464,5.765,6.28,6.494827879
DOT,9/1/20,6.28,6.849,6.141,6.25,-0.477707006
DOT,9/2/20,6.25,6.445,5.65,6.145,-1.68
DOT,9/3/20,6.145,6.329,5.643,5.721,-6.899918633
DOT,9/4/20,5.721,5.991,4.553,5.114,-10.61003321
DOT,9/5/20,5.114,5.317,3.596,4.152,-18.81110677
DOT,9/6/20,4.152,4.914,3.741,4.787,15.2938343
DOT,9/7/20,4.787,4.838,4.015,4.598,-3.948193023
DOT,9/8/20,4.598,4.628,4.115,4.272,-7.090039147
DOT,9/9/20,4.272,4.785,4.142,4.699,9.995318352
DOT,9/10/20,4.699,4.883,4.423,4.571,-2.723983826
DOT,9/11/20,4.571,4.727,4.319,4.641,1.531393568
DOT,9/12/20,4.641,5.281,4.496,5.128,10.49342814
DOT,9/13/20,5.128,5.459,4.776,5.318,3.705148206
DOT,9/14/20,5.318,5.565,5.098,5.358,0.752162467
DOT,9/15/20,5.358,5.443,5.046,5.057,-5.617767824
DOT,9/16/20,5.057,5.276,4.97,5.07,0.257069409
DOT,9/17/20,5.07,5.407,5.04,5.321,4.950690335
DOT,9/18/20,5.321,5.422,5.07,5.227,-1.766585228
DOT,9/19/20,5.227,5.242,4.778,4.894,-6.37076717
DOT,9/20/20,4.894,4.956,4.426,4.645,-5.087862689
DOT,9/21/20,4.645,4.688,3.927,4.069,-12.40043057
DOT,9/22/20,4.069,4.204,3.904,4.16,2.236421725
DOT,9/23/20,4.16,4.309,3.939,4.01,-3.605769231
DOT,9/24/20,4.01,4.454,3.966,4.374,9.077306733
DOT,9/25/20,4.374,4.517,4.233,4.401,0.617283951
DOT,9/26/20,4.401,4.477,4.23,4.322,-1.79504658
DOT,9/27/20,4.322,4.36,4.124,4.282,-0.925497455
DOT,9/28/20,4.282,4.569,4.227,4.412,3.035964503
DOT,9/29/20,4.412,4.59,4.342,4.484,1.631912965
DOT,9/30/20,4.484,4.486,4.222,4.322,-3.612845674
DOT,10/1/20,4.322,4.549,4.23,4.325,0.069412309
DOT,10/2/20,4.325,4.346,3.897,4.12,-4.739884393
DOT,10/3/20,4.12,4.122,4.024,4.047,-1.77184466
DOT,10/4/20,4.047,4.172,3.998,4.155,2.66864344
DOT,10/5/20,4.155,4.221,4.092,4.152,-0.072202166
