ticker,date,open,high,low,close,return
ETH,8/7/15,3,3,3,3,
ETH,8/8/15,3,3,1.2,1.2,-60
ETH,8/9/15,1.2,1.2,1.2,1.2,0
ETH,8/10/15,1.2,1.2,1.2,1.2,0
ETH,8/11/15,1.2,1.2,0.6504,0.99,-17.5
ETH,8/12/15,0.99,1.29,0.905,1.29,30.3030303
ETH,8/13/15,1.29,1.88,1.26,1.88,45.73643411
ETH,8/14/15,1.88,2.1,1.79,1.79,-4.787234043
ETH,8/15/15,1.79,1.79,1.5,1.79,0
ETH,8/16/15,1.79,1.79,0.5,1.37,-23.46368715
ETH,8/17/15,1.37,1.59,1.25,1.3,-5.109489051
ETH,8/18/15,1.3,1.36,1.15,1.36,4.615384615
ETH,8/19/15,1.36,1.36,0.99,1.24,-8.823529412
ETH,8/20/15,1.24,1.52,1.24,1.52,22.58064516
ETH,8/21/15,1.52,1.53,1.44,1.44,-5.263157895
ETH,8/22/15,1.44,1.44,1.4,1.4,-2.777777778
ETH,8/23/15,1.4,1.4,1.31,1.35,-3.571428571
ETH,8/24/15,1.35,1.35,1.24,1.24,-8.148148148
ETH,8/25/15,1.24,1.28,1.22,1.27,2.419354839
ETH,8/26/15,1.27,1.27,1.08,1.18,-7.086614173
ETH,8/27/15,1.18,1.19,1.14,1.14,-3.389830508
ETH,8/28/15,1.14,1.3,1.14,1.3,14.03508772
ETH,8/29/15,1.3,1.3,1.15,1.18,-9.230769231
ETH,8/30/15,1.18,1.35,1.17,1.32,11.86440678
ETH,8/31/15,1.32,1.32,0.9,1.31,-0.757575758
ETH,9/1/15,1.31,1.38,1.31,1.36,3.816793893
ETH,9/2/15,1.36,1.37,1.14,1.14,-16.17647059
ETH,9/3/15,1.14,1.33,1.14,1.23,7.894736842
ETH,9/4/15,1.28,1.4,1.28,1.35,9.756097561
ETH,9/5/15,1.23,1.37,1.23,1.37,1.481481481
ETH,9/6/15,1.37,1.39,1.34,1.34,-2.189781022
ETH,9/7/15,1.34,1.34,1.28,1.28,-4.47761194
ETH,9/8/15,1.28,1.28,1.26,1.26,-1.5625
ETH,9/9/15,1.26,1.26,1.21,1.21,-3.968253968
ETH,9/10/15,1.21,1.21,1.12,1.19,-1.652892562
ETH,9/11/15,1.19,1.19,0.9242,0.9242,-22.33613445
ETH,9/12/15,0.9242,1.15,0.9242,1.15,24.43194114
ETH,9/13/15,1.15,1.15,0.8837,0.8856,-22.99130435
ETH,9/14/15,0.8856,0.9622,0.885,0.955,7.836495032
ETH,9/15/15,0.955,1,0.804,0.95,-0.523560209
ETH,9/16/15,0.95,0.9563,0.9363,0.9363,-1.442105263
ETH,9/17/15,0.9363,0.9363,0.8238,0.875,-6.547046887
