ticker,date,open,high,low,close,return
ICP,5/10/21,630,630,250.32,426.98,
ICP,5/11/21,423.42,497.7,297.67,363.71,-14.81802426
ICP,5/12/21,363.71,389.05,255.55,258.41,-28.95163729
ICP,5/13/21,258.41,346.8,253.35,301.36,16.62087381
ICP,5/14/21,301.36,341.3,291.96,304.46,1.028670029
ICP,5/15/21,304.46,305.27,240.09,246.25,-19.1190961
ICP,5/16/21,246.25,264.2,205.46,225.61,-8.381725888
ICP,5/17/21,225.2,225.52,185.12,195.97,-13.13771553
ICP,5/18/21,195.97,206,160.5,163.87,-16.38005817
ICP,5/19/21,163.87,179.95,88.14,122.86,-25.02593519
ICP,5/20/21,123.64,224.53,104.07,164.72,34.07130067
ICP,5/21/21,164.72,187.21,120.33,146.17,-11.26153473
ICP,5/22/21,146.17,169.31,125.11,146.44,0.184716426
ICP,5/23/21,146.44,165.79,122,144.3,-1.461349358
ICP,5/24/21,144.3,163.78,135.65,147.83,2.446292446
ICP,5/25/21,147.83,156.99,123.07,134.19,-9.226814584
ICP,5/26/21,134.17,152.26,132.13,142.74,6.37156271
ICP,5/27/21,142.74,145.89,129.89,132.15,-7.419083649
ICP,5/28/21,132.15,132.89,110.13,115.68,-12.4631101
ICP,5/29/21,115.82,120,105.72,110.81,-4.20988935
ICP,5/30/21,110.62,118.45,104.45,111.83,0.92049454
ICP,5/31/21,111.83,115.24,105.22,114.66,2.530626844
ICP,6/1/21,114.82,117,106,107.53,-6.21838479
ICP,6/2/21,107.55,112.94,102.35,107.89,0.334790291
ICP,6/3/21,107.89,136.41,105.22,124.54,15.43238484
ICP,6/4/21,124.54,124.69,105.49,108.86,-12.59033242
ICP,6/5/21,108.86,116.22,100,104.62,-3.894910895
ICP,6/6/21,104.62,109.98,102.49,104.44,-0.172051233
ICP,6/7/21,104.44,106.69,89.08,91.15,-12.72500957
ICP,6/8/21,91.38,94.8,77,81.43,-10.66374109
ICP,6/9/21,81.39,88.96,77.11,81.51,0.09824389
ICP,6/10/21,81.51,83.65,65.5,66.51,-18.40264998
ICP,6/11/21,66.51,72.33,56.17,58.44,-12.13351376
ICP,6/12/21,58.44,67.6,53.03,61.08,4.517453799
ICP,6/13/21,61.08,66.75,57.19,64.43,5.484610347
ICP,6/14/21,64.43,70.76,61.93,66.72,3.554244917
ICP,6/15/21,66.72,68.87,58.62,60.37,-9.517386091
ICP,6/16/21,60.37,60.39,54.74,55.33,-8.348517476
ICP,6/17/21,55.33,60.18,51.54,54.09,-2.241098861
ICP,6/18/21,54.09,55.59,47.02,48.44,-10.44555371
ICP,6/19/21,48.44,54.84,46.39,48.76,0.660611065
ICP,6/20/21,48.76,50.74,44.16,47.15,-3.301886792
ICP,6/21/21,47.15,47.66,36.27,36.67,-22.22693531
ICP,6/22/21,36.67,40.16,31.87,34.47,-5.999454595
ICP,6/23/21,34.47,40.92,32.86,37.74,9.486510009
ICP,6/24/21,37.74,38.89,33.14,34.59,-8.346581876
ICP,6/25/21,34.59,36.69,30.68,31.1,-10.08962128
ICP,6/26/21,31.1,33.77,28.32,30.38,-2.31511254
ICP,6/27/21,30.38,45.31,29.5,43.03,41.63923634
ICP,6/28/21,43.03,51.49,40.51,51.26,19.12619103
ICP,6/29/21,51.26,59.42,46.8,54.23,5.793991416
ICP,6/30/21,54.23,54.67,43.25,49.92,-7.947630463
ICP,7/1/21,49.92,50.75,44.2,45.7,-8.453525641
ICP,7/2/21,45.7,47.4,41.44,43.88,-3.98249453
ICP,7/3/21,43.88,49.98,42.73,48.76,11.12123974
ICP,7/4/21,48.76,50.93,46.45,46.73,-4.163248564
ICP,7/5/21,46.73,47.99,44.09,46.24,-1.048576931
ICP,7/6/21,46.24,48.39,45,46.23,-0.021626298
ICP,7/7/21,46.23,47.94,45,45.38,-1.838632922
ICP,7/8/21,45.38,45.48,39.16,40.26,-11.28250331
ICP,7/9/21,40.26,42.48,37.29,40.59,0.819672131
ICP,7/10/21,40.59,42.1,37.62,38.61,-4.87804878
ICP,7/11/21,38.61,41.44,37.75,39.69,2.797202797
ICP,7/12/21,39.69,40.96,35.93,37.22,-6.223230033
ICP,7/13/21,37.22,39.93,35.25,38.93,4.594304138
ICP,7/14/21,38.93,39.85,35.29,36.88,-5.265861803
ICP,7/15/21,36.88,38.37,35.31,35.96,-2.494577007
ICP,7/16/21,35.96,36.15,32.18,32.39,-9.927697442
ICP,7/17/21,32.39,33.51,31.18,32.3,-0.277863538
ICP,7/18/21,32.3,34.82,31.96,32.38,0.247678019
ICP,7/19/21,32.38,32.58,29.87,30.91,-4.539839407
ICP,7/20/21,30.91,31.54,26.98,28.54,-7.667421546
ICP,7/21/21,28.54,35.1,27.77,33.41,17.06377015
ICP,7/22/21,33.41,35.38,32.23,33.76,1.047590542
ICP,7/23/21,33.76,35.07,31.74,34.65,2.636255924
ICP,7/24/21,34.65,45.69,33.91,43.49,25.51226551
ICP,7/25/21,43.49,46.05,40.46,42.65,-1.931478501
ICP,7/26/21,42.65,48.14,40.51,40.58,-4.853458382
ICP,7/27/21,40.58,41.72,37.53,41.02,1.084277969
ICP,7/28/21,41.02,43.81,39.29,40.74,-0.682593857
ICP,7/29/21,40.74,41.88,39.07,41.23,1.202749141
ICP,7/30/21,41.23,42.72,38.31,42.19,2.328401649
ICP,7/31/21,42.19,43.91,40.41,41.82,-0.876985068
ICP,8/1/21,41.82,44.6,40.7,40.9,-2.199904352
ICP,8/2/21,40.9,41.49,39.77,40.19,-1.73594132
ICP,8/3/21,40.19,40.65,37.61,38.54,-4.10549888
ICP,8/4/21,38.54,40.42,37.81,39.32,2.023871303
ICP,8/5/21,39.32,42.72,38.2,42.09,7.044760936
ICP,8/6/21,42.09,51.93,40.48,48.27,14.68282252
ICP,8/7/21,48.27,66.08,47.88,61.7,27.82266418
ICP,8/8/21,61.7,62.22,53.3,55.27,-10.42139384
ICP,8/9/21,55.27,68.8,52.81,64.24,16.22941921
ICP,8/10/21,64.24,76.46,61.42,71.63,11.50373599
ICP,8/11/21,71.63,76.95,65.68,67.22,-6.15663828
ICP,8/12/21,65.29,65.84,60.1,64.08,-4.671228801
ICP,8/13/21,64.08,68.89,62.68,68.21,6.445068664
ICP,8/14/21,68.21,68.42,62.2,64.25,-5.805600352
