ticker,date,open,high,low,close,return
LINK,9/28/17,0.2497,0.347,0.1938,0.2437,
LINK,9/29/17,0.2424,0.3505,0.2192,0.3294,35.16618794
LINK,9/30/17,0.3442,0.522,0.3097,0.4561,38.46387371
LINK,10/1/17,0.4606,0.4623,0.3748,0.4388,-3.793027845
LINK,10/2/17,0.4386,0.4445,0.3578,0.3746,-14.6308113
LINK,10/3/17,0.3671,0.3779,0.2913,0.3475,-7.234383342
LINK,10/4/17,0.3398,0.4008,0.3164,0.3928,13.03597122
LINK,10/5/17,0.4024,0.4321,0.3889,0.4062,3.411405295
LINK,10/6/17,0.411,0.4918,0.4067,0.4787,17.84835057
LINK,10/7/17,0.4857,0.4879,0.417,0.4658,-2.694798412
LINK,10/8/17,0.4842,0.4925,0.3459,0.3971,-14.74881924
LINK,10/9/17,0.4113,0.4629,0.3493,0.3798,-4.356585243
LINK,10/10/17,0.3787,0.4335,0.3484,0.4134,8.846761453
LINK,10/11/17,0.4187,0.4532,0.4151,0.45,8.85341074
LINK,10/12/17,0.5068,0.5351,0.4293,0.4455,-1
LINK,10/13/17,0.4623,0.4797,0.4023,0.4355,-2.244668911
LINK,10/14/17,0.45,0.4716,0.3791,0.3923,-9.919632606
LINK,10/15/17,0.3831,0.4297,0.3585,0.4101,4.537343869
LINK,10/16/17,0.4204,0.5471,0.3945,0.4199,2.389661058
LINK,10/17/17,0.4081,0.417,0.3584,0.399,-4.977375566
LINK,10/18/17,0.3972,0.4026,0.3364,0.3647,-8.596491228
LINK,10/19/17,0.3727,0.3841,0.2914,0.2973,-18.48094324
LINK,10/20/17,0.3127,0.344,0.2135,0.222,-25.32795156
LINK,10/21/17,0.2225,0.2703,0.1896,0.2523,13.64864865
LINK,10/22/17,0.253,0.292,0.2477,0.2632,4.320253666
LINK,10/23/17,0.2598,0.2792,0.2288,0.2446,-7.066869301
LINK,10/24/17,0.226,0.2915,0.2214,0.2535,3.638593622
LINK,10/25/17,0.2637,0.265,0.2423,0.2524,-0.433925049
LINK,10/26/17,0.2591,0.2621,0.2237,0.2273,-9.944532488
LINK,10/27/17,0.2225,0.2286,0.2167,0.2231,-1.847778267
LINK,10/28/17,0.2216,0.222,0.1947,0.2047,-8.24742268
LINK,10/29/17,0.2198,0.2336,0.1923,0.1988,-2.882266732
LINK,10/30/17,0.1981,0.2129,0.1954,0.2087,4.979879276
LINK,10/31/17,0.2199,0.2365,0.1844,0.1901,-8.912314327
LINK,11/1/17,0.1986,0.2021,0.155,0.1559,-17.9905313
LINK,11/2/17,0.1626,0.1932,0.1265,0.1604,2.886465683
LINK,11/3/17,0.1634,0.188,0.1554,0.1684,4.987531172
LINK,11/4/17,0.1734,0.1878,0.1658,0.1756,4.275534442
LINK,11/5/17,0.1762,0.181,0.167,0.1731,-1.423690205
LINK,11/6/17,0.1631,0.1697,0.1454,0.1669,-3.581744656
LINK,11/7/17,0.1703,0.1776,0.1608,0.1768,5.931695626
LINK,11/8/17,0.1854,0.2914,0.1714,0.2166,22.51131222
LINK,11/9/17,0.2074,0.2467,0.1896,0.2255,4.108956602
LINK,11/10/17,0.2085,0.2087,0.1789,0.1866,-17.25055432
LINK,11/11/17,0.1802,0.187,0.1617,0.1775,-4.876741693
LINK,11/12/17,0.1646,0.1956,0.1495,0.1705,-3.943661972
LINK,11/13/17,0.1892,0.2282,0.1702,0.1819,6.686217009
LINK,11/14/17,0.1847,0.2111,0.1715,0.1864,2.473886751
LINK,11/15/17,0.2058,0.2068,0.1719,0.184,-1.287553648
LINK,11/16/17,0.1985,0.2036,0.161,0.1682,-8.586956522
LINK,11/17/17,0.1649,0.1682,0.1363,0.1545,-8.145065398
LINK,11/18/17,0.1562,0.1797,0.1529,0.17,10.03236246
LINK,11/19/17,0.1757,0.1849,0.1548,0.1617,-4.882352941
LINK,11/20/17,0.165,0.1715,0.1551,0.1623,0.371057514
LINK,11/21/17,0.1595,0.1672,0.1498,0.1579,-2.711028959
LINK,11/22/17,0.1606,0.1761,0.15,0.1688,6.90310323
LINK,11/23/17,0.1643,0.1891,0.1527,0.1649,-2.31042654
LINK,11/24/17,0.1688,0.1935,0.155,0.1935,17.34384475
LINK,11/25/17,0.2066,0.2075,0.1751,0.1791,-7.441860465
LINK,11/26/17,0.1907,0.194,0.1761,0.1806,0.837520938
LINK,11/27/17,0.1886,0.1886,0.1752,0.1856,2.76854928
LINK,11/28/17,0.1889,0.1969,0.1735,0.1785,-3.825431034
LINK,11/29/17,0.1773,0.1799,0.1329,0.1468,-17.75910364
LINK,11/30/17,0.1484,0.1828,0.143,0.168,14.44141689
LINK,12/1/17,0.1835,0.192,0.1685,0.1763,4.94047619
