ticker,date,open,high,low,close,return
LTC,10/24/13,3,3,3,3,
LTC,10/25/13,3,3,3,3,0
LTC,10/26/13,3,3,3,3,0
LTC,10/27/13,3,3,3,3,0
LTC,10/28/13,3,3,3,3,0
LTC,10/29/13,3,3,3,3,0
LTC,10/30/13,3,3,3,3,0
LTC,10/31/13,3,3,3,3,0
LTC,11/1/13,3,3,3,3,0
LTC,11/2/13,3,3,3,3,0
LTC,11/3/13,3,3,3,3,0
LTC,11/4/13,3,3,3,3,0
LTC,11/5/13,3,3,3,3,0
LTC,11/6/13,3,3,3,3,0
LTC,11/7/13,3,3.2,3,3.2,6.666666667
LTC,11/8/13,3.2,3.2,3.2,3.2,0
LTC,11/9/13,3.2,3.2,3.2,3.2,0
LTC,11/10/13,3.2,3.2,3.2,3.2,0
LTC,11/11/13,3.2,3.2,3.2,3.2,0
LTC,11/12/13,3.2,3.2,3.2,3.2,0
LTC,11/13/13,3.2,5,3.2,5,56.25
LTC,11/14/13,5,5,3,3,-40
LTC,11/15/13,3,5,3,5,66.66666667
LTC,11/16/13,5,5,4.25,4.25,-15
LTC,11/17/13,4.25,4.25,4.25,4.25,0
LTC,11/18/13,4.25,5,4.25,5,17.64705882
LTC,11/19/13,5,10,5,9,80
LTC,11/20/13,9,9,9,9,0
LTC,11/21/13,9,9,9,9,0
LTC,11/22/13,9,11,9,10,11.11111111
LTC,11/23/13,10,14.5,10,12.8,28
LTC,11/24/13,12.8,13.8,10,10,-21.875
LTC,11/25/13,10,14,10,12,20
LTC,11/26/13,12,20.5,11,20.5,70.83333333
LTC,11/27/13,20.5,50,20.5,35.99,75.56097561
LTC,11/28/13,35.99,65,35.99,46.1,28.09113643
LTC,11/29/13,46.1,50,30.2,41,-11.06290672
LTC,11/30/13,41,48,38,41,0
LTC,12/1/13,41,41.21,24.48,35.3,-13.90243902
LTC,12/2/13,35.3,40.5,29.8,33.51,-5.07082153
LTC,12/3/13,33.51,36.4,32,33,-1.521933751
LTC,12/4/13,33,43,31,32.2,-2.424242424
LTC,12/5/13,32.2,42.99,29,38,18.01242236
LTC,12/6/13,38,39.2,32,32,-15.78947368
LTC,12/7/13,32,32,11,22.78,-28.8125
LTC,12/8/13,22.78,28.4,22.78,27.93,22.60755048
LTC,12/9/13,27.93,32.59,27,31.98,14.50053706
LTC,12/10/13,31.98,36.6,31.98,35.26,10.25641026
LTC,12/11/13,35.26,35.26,28.78,31.57,-10.46511628
LTC,12/12/13,31.57,32.93,30.98,31,-1.805511562
LTC,12/13/13,31,33,30.01,30.59,-1.322580645
LTC,12/14/13,30.59,32.39,30.01,30.01,-1.896044459
LTC,12/15/13,30.01,31.8,29.15,30.92,3.032322559
LTC,12/16/13,30.92,32.13,25,25.77,-16.65588616
LTC,12/17/13,25.77,29,20.01,23.74,-7.877376795
LTC,12/18/13,23.74,23.74,8.48,13,-45.2401011
LTC,12/19/13,13,20,13,19.8,52.30769231
LTC,12/20/13,19.8,22,17.22,18.85,-4.797979798
LTC,12/21/13,18.85,18.85,17.13,17.13,-9.124668435
LTC,12/22/13,17.13,19.01,17.13,18,5.078809107
LTC,12/23/13,18,18.74,16.73,17.2,-4.444444444
LTC,12/24/13,17.2,18,17.2,18,4.651162791
LTC,12/25/13,18,22.06,17.5,22.06,22.55555556
LTC,12/26/13,22.06,25,21.9,24.97,13.19129646
LTC,12/27/13,24.97,24.97,22,22.06,-11.65398478
LTC,12/28/13,22.06,23.33,22.06,22.33,1.223934723
LTC,12/29/13,22.33,24.51,22.32,24.51,9.762651142
LTC,12/30/13,24.51,25.18,23.16,24.96,1.835985312
LTC,12/31/13,24.96,24.98,23.55,23.55,-5.649038462
LTC,1/1/14,23.55,25,23.55,24.77,5.180467091
LTC,1/2/14,24.77,26.6,23.88,26.6,7.387969318
LTC,1/3/14,26.6,26.6,24.1,25.49,-4.172932331
LTC,1/4/14,25.49,25.49,24.05,24.05,-5.649274225
LTC,1/5/14,24.05,27,24.05,26.01,8.14968815
LTC,1/6/14,26.01,31.26,22.23,28.7,10.34217609
LTC,1/7/14,28.7,29.71,23,23,-19.86062718
LTC,1/8/14,23,26,22.19,24.9,8.260869565
LTC,1/9/14,24.9,25.79,24,24.5,-1.606425703
LTC,1/10/14,24.5,25.79,24,24.06,-1.795918367
LTC,1/11/14,24.06,27.62,24.06,26.35,9.517871987
LTC,1/12/14,26.35,26.45,24,25.39,-3.643263757
LTC,1/13/14,25.39,26.31,24,25.01,-1.496652225
LTC,1/14/14,25.01,25.01,24,24.52,-1.959216313
LTC,1/15/14,24.52,25.47,24.39,24.52,0
LTC,1/16/14,24.52,25.37,24.01,24.01,-2.079934747
LTC,1/17/14,24.01,24.99,23.27,24,-0.041649313
LTC,1/18/14,24,24.99,23.5,24.94,3.916666667
LTC,1/19/14,24.94,24.94,23.35,24.9,-0.160384924
LTC,1/20/14,24.9,24.9,24.28,24.28,-2.489959839
LTC,1/21/14,24.28,25.5,23.5,25.49,4.983525535
LTC,1/22/14,25.49,25.49,22.39,23,-9.768536681
LTC,1/23/14,23,23.73,22.3,22.3,-3.043478261
LTC,1/24/14,22.3,22.89,20.5,21.05,-5.605381166
LTC,1/25/14,21.05,22.35,20.29,22.26,5.748218527
LTC,1/26/14,22.26,24,22,22.34,0.359389039
LTC,1/27/14,22.34,23.5,20.78,20.78,-6.982990152
LTC,1/28/14,20.78,23,20.29,22.88,10.10587103
LTC,1/29/14,22.88,22.88,20.63,21.7,-5.157342657
LTC,1/30/14,21.7,21.99,20.62,20.72,-4.516129032
LTC,1/31/14,20.72,21.61,20.72,21.59,4.198841699
LTC,2/1/14,21.59,22.66,21.3,21.46,-0.602130616
LTC,2/2/14,21.46,21.87,21.46,21.87,1.910531221
