Date,USD,Euro,GBP,JPY,CNY,ARS,MSCI,Natural_Gas,Brent_Oil,Crude_Oil,Heating_Oil,Silver,Gold,GSCI_Precious_Metal,CAC40,DAX,Dow_Jones,FTSE_100,FTSE_MIB,Nikkei_225,Merval,SHCOMP,BTC,ETH,BNB,USDC,USDT,XRP
12/2/22,1,0,0,0,0,,-0.29,-8.44,-1.53,-1.27,-4.08,-1.53,-1.27,-0.1,-0.17,0.27,0.1,-0.03,-0.26,-1.59,-0.53,-0.29,0.446173342,1.024593372,-0.273300583,0,0,-0.551881943
12/5/22,1,0.25728988,1.010765059,1.230632367,-0.826328537,0.156935208,-1.34,-11.1,-3.38,-4.62,-5.09,-3.38,-4.62,-1.77,-0.67,-0.56,-1.4,0.15,-0.3,0.15,-3.08,1.76,-0.576803464,-2.448340784,-1.271589967,-0.013997761,-0.00399976,-1.344536963
12/6/22,1,-0.028579594,-0.270447468,0.087879897,0.466886942,0.737726706,-1.27,-1.93,-3.62,-3.79,-2.8,-3.62,-3.79,0.02,-0.14,-0.72,-1.03,-0.61,-1.15,0.24,2.2,0.02,0.175874504,-0.494809661,0.238718139,0.00599988,-0.00399992,-0.181338101
12/7/22,1,-0.076154212,0.065606036,-0.073168947,-0.333166512,0.204589549,-0.29,4.44,-2.61,-2.54,-4.17,-2.61,-2.54,1.05,-0.41,-0.57,0,-0.43,-0.1,-0.72,1.84,-0.4,-0.772960521,-1.791928738,-1.659432179,-0.00799936,0.00200004,-1.51612621
12/8/22,1,-0.445413192,-0.335104209,-0.087867028,-0.07603799,0.183348672,0.6,3.61,-1.29,-0.72,2.84,-1.29,-0.72,0.32,-0.2,0.02,0.55,-0.23,-0.14,-0.4,,-0.07,2.145168473,4.389665066,1.978176698,-0.003,0.007,2.897081493
12/9/22,1,0.018957346,-0.617334091,-0.036643459,-0.129219371,-0.001590556,-0.28,4.5,0.01,-0.78,-2.36,0.01,-0.78,0.66,0.46,0.74,-0.9,0.06,0.29,1.18,,0.3,-0.409793185,-1.591404547,-1.280891896,-0.00400012,-0.00399972,-1.182272014
12/12/22,1,0.047415837,0.211640212,0.784457478,0.307652496,0.280248353,0.78,5.49,2.27,2.14,5.82,2.27,2.14,-1.05,-0.41,-0.45,1.58,-0.41,0.11,-0.21,-2.75,-0.87,0.154085903,0.683565937,-3.246051698,0.01600112,0.00599982,-0.590242623
12/13/22,1,-0.799623706,-0.727272727,-1.694915254,-0.49159417,0.591943524,1.19,4.94,3.22,2.38,4.07,3.22,2.38,1.92,1.42,1.34,0.3,0.76,1.37,0.4,-0.58,-0.09,3.5682442,3.685368537,-1.839371217,0.146986771,-0.03299703,1.871453866
12/14/22,1,-0.234631628,-0.265957447,-0.140594939,0.097940372,0.291325894,-0.37,-7.62,2.34,2.77,5.57,2.34,2.77,-0.27,-0.21,-0.26,-0.42,-0.09,-0.26,0.72,-0.78,0.01,0.369682647,-0.577491474,-1.404826329,-0.128799073,0.031007442,-2.100455462
12/15/22,1,0.159804475,1.654923808,2.200815117,0.313678091,0.157764363,-2.53,5.93,-1.73,-1.32,-0.47,-1.73,-1.32,-1.88,-3.09,-3.28,-2.25,-0.93,-3.45,-0.37,0.31,-0.25,-2.766051677,-3.684788243,-3.94594857,-0.016995411,0.01299909,-2.190619112
12/16/22,1,0.263901979,0.312294543,-0.993329466,-0.011475128,0.157737534,-1.17,-4.34,-2.25,-2.36,-4.36,-2.25,-2.36,0.63,-1.08,-0.67,-0.85,-1.27,-0.16,-1.87,0.23,-0.02,-3.570625508,-6.703388892,-10.46759779,0,-0.009998,-6.688307387
12/19/22,1,-0.131777108,-0.098522167,0.234346393,0.091811557,0.20289587,-0.77,-9.41,0.82,1.93,-1.84,0.82,1.93,-0.18,0.32,0.36,-0.49,0.4,-0.02,-1.05,2.34,-1.92,-1.845739911,-1.37083913,4.28745718,-0.0319968,-0.0109989,-3.901344655
12/20/22,1,-0.103432064,0.279927548,-4.230291517,-0.246517228,0.538970335,0.27,-8.65,0.49,0.45,0.37,0.49,0.45,1.85,-0.35,-0.42,0.28,0.13,0.15,-2.46,1.99,-1.07,2.761889098,4.547252898,4.459654119,0.016003521,0.00500005,4.23082947
