ticker,date,open,high,low,close,return
SOL,4/10/20,0.8198,1.33,0.7289,0.9496,
SOL,4/11/20,0.9496,1.051,0.7689,0.7973,-16.03833193
SOL,4/12/20,0.7973,0.9403,0.7797,0.883,10.74877712
SOL,4/13/20,0.883,0.9301,0.7755,0.7772,-11.98187995
SOL,4/14/20,0.7772,0.8212,0.6302,0.6664,-14.25630468
SOL,4/15/20,0.6664,0.6723,0.5978,0.6382,-4.231692677
SOL,4/16/20,0.6382,0.8001,0.6382,0.6928,8.555311814
SOL,4/17/20,0.6928,0.721,0.6536,0.6555,-5.383949192
SOL,4/18/20,0.6555,0.7288,0.6555,0.6786,3.52402746
SOL,4/19/20,0.6786,0.6786,0.5928,0.6047,-10.89006779
SOL,4/20/20,0.6047,0.6047,0.5171,0.5331,-11.84058211
SOL,4/21/20,0.5331,0.5938,0.5145,0.5789,8.591258676
SOL,4/22/20,0.5789,0.7143,0.5789,0.6917,19.48523061
SOL,4/23/20,0.6917,0.7152,0.6099,0.6341,-8.327309527
SOL,4/24/20,0.6341,0.6642,0.6064,0.6229,-1.766282921
SOL,4/25/20,0.6229,0.6687,0.6208,0.6442,3.419489485
SOL,4/26/20,0.6442,0.693,0.634,0.6346,-1.490220428
SOL,4/27/20,0.6346,0.6527,0.5676,0.5734,-9.643870154
SOL,4/28/20,0.5734,0.6995,0.566,0.6554,14.30066271
SOL,4/29/20,0.6554,0.7906,0.6554,0.7469,13.96093988
SOL,4/30/20,0.7469,0.7641,0.6821,0.6913,-7.444102289
SOL,5/1/20,0.6913,0.7398,0.6722,0.7248,4.845942427
SOL,5/2/20,0.7248,0.7492,0.7053,0.7079,-2.331677704
SOL,5/3/20,0.7079,0.7089,0.6476,0.6808,-3.828224325
SOL,5/4/20,0.6808,0.7074,0.6318,0.6699,-1.601057579
SOL,5/5/20,0.6699,0.6756,0.6332,0.6445,-3.791610688
SOL,5/6/20,0.6445,0.6479,0.6086,0.6171,-4.251357642
SOL,5/7/20,0.6171,0.6494,0.58,0.6088,-1.34500081
SOL,5/8/20,0.6088,0.6255,0.5882,0.6052,-0.591327201
SOL,5/9/20,0.6052,0.6183,0.5793,0.6037,-0.24785195
SOL,5/10/20,0.6037,0.6201,0.5347,0.5413,-10.33625973
SOL,5/11/20,0.5413,0.5634,0.5177,0.5183,-4.249030113
SOL,5/12/20,0.5183,0.5581,0.5183,0.5367,3.550067528
SOL,5/13/20,0.5367,0.5672,0.5177,0.5544,3.297931805
SOL,5/14/20,0.5544,0.5897,0.5504,0.5722,3.210678211
SOL,5/15/20,0.5717,0.5717,0.5423,0.5571,-2.638937434
SOL,5/16/20,0.5577,0.6005,0.5577,0.5986,7.449290971
SOL,5/17/20,0.5986,0.6422,0.5958,0.6147,2.689609088
SOL,5/18/20,0.6147,0.6878,0.6147,0.6532,6.26321783
SOL,5/19/20,0.6532,0.6798,0.6189,0.6287,-3.750765462
SOL,5/20/20,0.6287,0.6287,0.58,0.5827,-7.316685223
SOL,5/21/20,0.5827,0.6106,0.5443,0.6057,3.947142612
SOL,5/22/20,0.6057,0.6696,0.5971,0.6364,5.068515767
SOL,5/23/20,0.6364,0.6364,0.5865,0.6075,-4.541169076
SOL,5/24/20,0.6075,0.6075,0.5499,0.5528,-9.004115226
SOL,5/25/20,0.5528,0.6568,0.5487,0.5961,7.832850941
SOL,5/26/20,0.5961,0.6095,0.5641,0.5742,-3.673880221
SOL,5/27/20,0.5742,0.6113,0.5742,0.592,3.099965169
SOL,5/28/20,0.592,0.6147,0.5722,0.5763,-2.652027027
SOL,5/29/20,0.5763,0.5967,0.5646,0.5768,0.086760368
