ticker,date,open,high,low,close,return
USDT,3/5/17,0.9,0.999,0.9,0.999,
USDT,3/6/17,0.999,1,0.99,0.99,-0.900900901
USDT,3/7/17,0.99,0.99,0.981,0.982,-0.808080808
USDT,3/8/17,0.982,0.982,0.982,0.982,0
USDT,3/9/17,0.982,0.982,0.982,0.982,0
USDT,3/10/17,0.982,1,0.982,1,1.83299389
USDT,3/11/17,1,1,0.9953,1,0
USDT,3/12/17,1,1,1,1,0
USDT,3/13/17,1,1,1,1,0
USDT,3/14/17,1,1.03,1,1.03,3
USDT,3/15/17,1.03,1.03,1.03,1.03,0
USDT,3/16/17,1.03,1.05,1.03,1.03,0
USDT,3/17/17,1.03,1.03,1.03,1.03,0
USDT,3/18/17,1.03,1.05,1,1,-2.912621359
USDT,3/19/17,1,1.01,1,1.01,1
USDT,3/20/17,1.01,1.03,1.01,1.03,1.98019802
USDT,3/21/17,1.03,1.03,1.03,1.03,0
USDT,3/22/17,1.03,1.03,1.03,1.03,0
USDT,3/23/17,1.03,1.03,1.03,1.03,0
USDT,3/24/17,1.03,1.03,1.02,1.02,-0.970873786
USDT,3/25/17,1.02,1.02,1.02,1.02,0
USDT,3/26/17,1.02,1.02,1.02,1.02,0
USDT,3/27/17,1.02,1.03,1,1,-1.960784314
USDT,3/28/17,1,1,1,1,0
USDT,3/29/17,1,1.02,1,1.02,2
USDT,3/30/17,1.02,1.02,1,1,-1.960784314
USDT,3/31/17,1,1.05,1,1,0
USDT,4/1/17,1,1,1,1,0
USDT,4/2/17,1,1.01,1,1.01,1
USDT,4/3/17,1.01,1.01,1.01,1.01,0
USDT,4/4/17,1.01,1.01,1.01,1.01,0
USDT,4/5/17,1.01,1.01,1.01,1.01,0
USDT,4/6/17,1.01,1.01,1.01,1.01,0
USDT,4/7/17,1.01,1.01,1.01,1.01,0
USDT,4/8/17,1.01,1.01,1.01,1.01,0
USDT,4/9/17,1.01,1.09,1.01,1.01,0
USDT,4/10/17,1.01,1.01,1,1.01,0
USDT,4/11/17,1.01,1.01,1,1,-0.99009901
USDT,4/12/17,1,1,1,1,0
USDT,4/13/17,0.9932,0.9954,0.9902,0.9939,-0.61
USDT,4/14/17,0.9939,0.996,0.9689,0.9899,-0.402454975
USDT,4/15/17,0.9899,0.9899,0.9676,0.9896,-0.030306092
USDT,4/16/17,0.9896,0.9896,0.9515,0.9515,-3.85004042
USDT,4/17/17,0.9515,0.9698,0.9211,0.9392,-1.292695744
USDT,4/18/17,0.9392,0.9628,0.9207,0.945,0.617546848
USDT,4/19/17,0.945,0.9549,0.9372,0.946,0.105820106
USDT,4/20/17,0.946,0.9549,0.92,0.949,0.317124736
USDT,4/21/17,0.949,0.95,0.9,0.9363,-1.33825079
USDT,4/22/17,0.9363,0.95,0.915,0.915,-2.274911887
USDT,4/23/17,0.915,0.94,0.901,0.915,0
USDT,4/24/17,0.915,0.9286,0.901,0.915,0
USDT,4/25/17,0.915,0.925,0.89,0.904,-1.202185792
USDT,4/26/17,0.904,0.9367,0.903,0.9201,1.780973451
USDT,4/27/17,0.9201,0.937,0.9199,0.92,-0.010868384
USDT,4/28/17,0.92,0.9649,0.9199,0.94,2.173913043
USDT,4/29/17,0.94,0.9524,0.931,0.931,-0.957446809
USDT,4/30/17,0.931,0.9529,0.912,0.935,0.429645542
USDT,5/1/17,0.935,0.94,0.9151,0.9156,-2.07486631
USDT,5/2/17,0.9156,0.94,0.9121,0.9283,1.387068589
USDT,5/3/17,0.9283,0.948,0.9212,0.9347,0.689432296
USDT,5/4/17,0.9347,0.9639,0.9155,0.959,2.59976463
USDT,5/5/17,0.959,0.98,0.9306,0.979,2.085505735
