ticker,date,open,high,low,close
BCH,6/25/2023,192.821,221.413,186.078,193.362
BCH,6/26/2023,193.362,234.921,189.236,222.247
BCH,6/27/2023,222.147,239.083,216.343,231.942
BCH,6/28/2023,231.942,243.529,219.94,227.498
BCH,6/29/2023,227.498,249.76,223.869,245.466
BCH,6/30/2023,245.368,328.818,244.383,308.795
BCH,7/1/2023,308.795,313.778,278.816,288.2
BCH,7/2/2023,281.161,308.469,268.276,293.226
BCH,7/3/2023,293.326,303.6,279.336,282.12
BCH,7/4/2023,282.017,293.429,272.263,277.761
BCH,7/5/2023,278.056,278.645,248.885,263.042
BCH,7/6/2023,263.042,303.691,262.239,285.674
BCH,7/7/2023,285.374,289.2,272.314,278.328
BCH,7/8/2023,278.791,280.314,261.921,268.846
BCH,7/9/2023,268.813,278.844,264.053,265.795
BCH,7/10/2023,265.498,287.5,258.566,278.576
BCH,7/11/2023,277.653,278.631,270.369,274.413
BCH,7/12/2023,274.366,294.633,272.756,278.682
BCH,7/13/2023,278.412,293.033,268.805,273.81
BCH,7/14/2023,273.707,278.028,254.902,260.528
BCH,7/15/2023,260.328,264.64,245.679,251.275
BCH,7/16/2023,250.875,258.888,250.573,252.616
BCH,7/17/2023,252.519,254.697,236.031,243.241
BCH,7/18/2023,243.341,246.31,231.719,244.954
BCH,7/19/2023,244.954,251.945,241.207,244.098
BCH,7/20/2023,244.3,255.213,240.376,244.378
BCH,7/21/2023,244.278,248.185,241.486,246.905
BCH,7/22/2023,246.902,247.822,242.115,243.224
BCH,7/23/2023,243.224,255.32,237.536,248.693
BCH,7/24/2023,248.695,253.79,235.85,238.871
BCH,7/25/2023,238.974,239.374,232.172,236.683
BCH,7/26/2023,236.081,244.598,233.66,241.11
BCH,7/27/2023,241.307,249.678,239.602,244.134
BCH,7/28/2023,244.134,245.446,241.228,242.395
BCH,7/29/2023,242.395,242.595,238.595,240.6
BCH,7/30/2023,240.998,255.79,240.5,251.977
BCH,7/31/2023,251.977,259.279,247.26,249.258
BCH,8/1/2023,249.058,250.175,239.004,241.877
BCH,8/2/2023,241.777,245.802,221.056,228.667
BCH,8/3/2023,228.667,231.461,226.171,227.316
BCH,8/4/2023,227.313,229.865,221.656,223.654
BCH,8/5/2023,223.654,228.851,223.155,226.85
BCH,8/6/2023,227.346,229.286,221.046,221.245
BCH,8/7/2023,222.798,244.339,217.788,237.721
BCH,8/8/2023,237.721,249.253,234.574,240.564
BCH,8/9/2023,240.764,241.628,234.525,235.195
BCH,8/10/2023,235.193,240.429,230.149,231.654
BCH,8/11/2023,231.754,232.765,227.018,228.451
BCH,8/12/2023,228.448,230.799,227.277,228.572
BCH,8/13/2023,228.572,230.822,225.14,228.921
BCH,8/14/2023,228.919,231.034,225.497,229.636
BCH,8/15/2023,229.538,237.058,227.284,230.047
BCH,8/16/2023,230.444,231.066,202.088,204.571
BCH,8/17/2023,204.571,211.146,166.415,179.598
BCH,8/18/2023,179.298,191.456,175.826,188.006
BCH,8/19/2023,187.806,192.037,184.482,185.852
BCH,8/20/2023,185.852,190.685,185.644,188.791
BCH,8/21/2023,188.789,195.359,181.567,186.972
BCH,8/22/2023,186.872,187.929,177.738,180.939
BCH,8/23/2023,180.939,196.302,180.735,193.161
BCH,8/24/2023,193.063,195.165,188.809,191.502
BCH,8/25/2023,191.502,194.699,188.31,192.894
BCH,8/26/2023,192.892,192.9,188.768,190.395
BCH,8/27/2023,190.395,201.193,189.901,197.807
BCH,8/28/2023,197.805,198.916,187.408,188.504
BCH,8/29/2023,188.504,228.334,188,225.443
BCH,8/30/2023,225.541,227.839,211.581,214.002
BCH,8/31/2023,214.885,216.581,203.165,205.875
BCH,9/1/2023,205.973,211.041,197.745,199.896
BCH,9/2/2023,199.798,201.742,190.879,195.279
BCH,9/3/2023,195.178,198.062,191.275,195.665
BCH,9/4/2023,195.565,199.056,190.026,191.146
BCH,9/5/2023,190.757,195.015,189.326,191.066
BCH,9/6/2023,191.116,195.467,190.171,193.384
BCH,9/7/2023,193.294,194.089,189.892,192.442
BCH,9/8/2023,192.41,196.994,190.552,192.323
BCH,9/9/2023,192.403,196.417,190.977,192.812
BCH,9/10/2023,192.928,193.534,186.505,191.519
BCH,9/11/2023,191.797,192.215,180.532,183.241
BCH,9/12/2023,183.431,209.523,183.011,201.792
BCH,9/13/2023,201.734,203.835,195.821,200.17
BCH,9/14/2023,200.24,210.522,198.642,208.32
BCH,9/15/2023,208.34,225.603,206.223,214.734
BCH,9/16/2023,214.804,223.852,212.734,216.419
BCH,9/17/2023,216.43,216.74,205.343,208.95
BCH,9/18/2023,208.92,225.698,207.571,217.817
BCH,9/19/2023,217.955,222.398,214.699,218.731
BCH,9/20/2023,218.631,220.936,211.304,216.501
BCH,9/21/2023,216.803,216.803,205.827,207.702
BCH,9/22/2023,207.542,210.065,203.994,208.015
BCH,9/23/2023,208.015,209.708,206.605,208.265
BCH,9/24/2023,208.355,210.008,205.811,207.658
BCH,9/25/2023,207.688,213.67,201.888,210.449
BCH,9/26/2023,210.51,215.691,209.513,213.798
BCH,9/27/2023,213.798,236.599,213.183,228.141
BCH,9/28/2023,228.251,245.397,227.691,238.645
BCH,9/29/2023,238.673,241.248,229.091,233.254
BCH,9/30/2023,233.274,239.46,232.014,234.767
BCH,10/1/2023,234.737,242.218,232.746,235.616
BCH,10/2/2023,235.506,255.648,235.028,247.022
BCH,10/3/2023,246.802,251.59,230.339,232.28
BCH,10/4/2023,232.048,232.758,223.617,231.382
BCH,10/5/2023,231.379,234.833,225.567,230.605
BCH,10/6/2023,230.635,233.945,226.334,233.186
BCH,10/7/2023,233.356,236.485,228.585,230.551
BCH,10/8/2023,230.741,233.113,226.662,228.82
BCH,10/9/2023,228.508,229.174,209.743,218.304
BCH,10/10/2023,218.336,220.402,210.301,212.803
BCH,10/11/2023,212.921,216.885,206.5,214.138
BCH,10/12/2023,214.138,217.537,210.005,212.861
BCH,10/13/2023,212.859,218.855,211.717,217.712
BCH,10/14/2023,217.772,218.841,215,215.415
BCH,10/15/2023,215.405,216.743,212.758,215.669
BCH,10/16/2023,215.669,248.335,214.709,231.775
BCH,10/17/2023,232.455,233.34,224.744,228.335
BCH,10/18/2023,228.204,232,224.76,226.858
BCH,10/19/2023,226.808,235.273,225.109,226.969
BCH,10/20/2023,226.971,249.052,226.361,240.531
BCH,10/21/2023,240.489,246.719,237.859,244.7
BCH,10/22/2023,244.742,254.727,238.079,238.291
BCH,10/23/2023,238.321,253.566,237.303,251.298
BCH,10/24/2023,251.248,269.984,245.755,251.38
BCH,10/25/2023,251.08,259.84,248.202,253.101
BCH,10/26/2023,253.098,256.946,240.131,247.03
BCH,10/27/2023,247.262,248.76,233.539,238.773
BCH,10/28/2023,238.745,247.685,238.17,247.23
BCH,10/29/2023,247.262,249.722,242.816,247.787
BCH,10/30/2023,247.827,251.07,241.471,245.318
BCH,10/31/2023,245.413,249.157,236.348,244.273
BCH,11/1/2023,244.283,247.434,236.689,244.268
BCH,11/2/2023,244.366,249.54,231.184,234.858
BCH,11/3/2023,234.738,240.891,231.265,238.493
BCH,11/4/2023,238.593,239.641,235.718,239.641
BCH,11/5/2023,239.817,243.361,233.902,237.63
BCH,11/6/2023,237.93,244.716,235.719,244.716
BCH,11/7/2023,244.729,252.008,237.193,243.91
BCH,11/8/2023,243.832,247.269,241.754,246.287
BCH,11/9/2023,246.254,257.667,225.607,238.805
BCH,11/10/2023,238.875,242.712,233.954,240.225
BCH,11/11/2023,240.225,241.95,233.142,235.959
BCH,11/12/2023,236.057,239.586,231.265,237.695
BCH,11/13/2023,237.898,240.149,233.149,234.866
BCH,11/14/2023,234.868,238.967,224.005,231.53
BCH,11/15/2023,231.432,237.204,230.132,237.023
BCH,11/16/2023,237.316,244.92,230.499,234.126
BCH,11/17/2023,234.026,234.798,221.415,229.578
BCH,11/18/2023,229.578,229.876,221.095,227.211
BCH,11/19/2023,227.214,229.421,224.223,228.701
BCH,11/20/2023,228.801,231.015,224.798,227.057
BCH,11/21/2023,227.157,235.864,212.883,214.281
BCH,11/22/2023,214.682,224.788,214.181,223.772
BCH,11/23/2023,223.969,227.566,221.956,225.632
BCH,11/24/2023,225.732,230.288,224.443,226.379
BCH,11/25/2023,226.379,228.257,225.747,227.234
BCH,11/26/2023,227.134,229.833,221.986,226.586
BCH,11/27/2023,226.684,229.685,219.344,222.304
BCH,11/28/2023,222.304,224.863,219.52,223.332
BCH,11/29/2023,223.53,227.204,221.086,223.127
BCH,11/30/2023,223.229,223.531,220.142,220.822
BCH,12/1/2023,220.644,226.397,220.542,225.29
BCH,12/2/2023,225.288,228.682,224.91,227.204
BCH,12/3/2023,227.305,233.305,224.483,229.583
BCH,12/4/2023,229.783,256.354,228.589,250.012
BCH,12/5/2023,249.413,255.097,238.521,250.33
BCH,12/6/2023,250.23,265.205,242.829,245.827
BCH,12/7/2023,245.627,249.303,239.331,245.386
BCH,12/8/2023,245.383,254.697,245.383,252.283
BCH,12/9/2023,252.083,262.887,251.57,255.469
BCH,12/10/2023,255.366,255.667,244.449,251.1
BCH,12/11/2023,251.408,251.92,211.817,229.992
BCH,12/12/2023,229.292,234.537,226.44,229.786
BCH,12/13/2023,229.786,235.961,222.949,234.134
BCH,12/14/2023,234.144,236.512,226.275,235.658
BCH,12/15/2023,235.678,236.01,227,227.15
BCH,12/16/2023,227.153,231.34,224.757,229.666
BCH,12/17/2023,229.714,229.963,225.438,226.217
BCH,12/18/2023,226.207,227.562,217.412,227.502
BCH,12/19/2023,227.492,230.928,222.667,224.545
BCH,12/20/2023,224.545,234.568,223.791,229.609
BCH,12/21/2023,229.569,234.476,228.571,233.832
BCH,12/22/2023,233.814,244.131,231.659,237.948
