ticker,date,open,high,low,close
ETH,6/25/2023,1876.36,1930.39,1870.18,1896.21
ETH,6/26/2023,1895.83,1908.69,1837.63,1851.2
ETH,6/27/2023,1851.01,1912.62,1847.57,1896.07
ETH,6/28/2023,1896.07,1896.73,1825.09,1829.82
ETH,6/29/2023,1829.83,1879.32,1826.49,1850.94
ETH,6/30/2023,1850.98,1946.95,1825.03,1931.16
ETH,7/1/2023,1931.29,1943.8,1908.72,1922.86
ETH,7/2/2023,1922.86,1927.53,1901.93,1921.18
ETH,7/3/2023,1921.17,1976.7,1915.89,1957.8
ETH,7/4/2023,1957.55,1967.05,1931.96,1942.22
ETH,7/5/2023,1942.23,1942.58,1895.08,1911.03
ETH,7/6/2023,1911.87,1957.93,1865.31,1875.87
ETH,7/7/2023,1875.88,1877.98,1826.47,1868.8
ETH,7/8/2023,1868.81,1874.51,1842.9,1856.49
ETH,7/9/2023,1856.5,1879.58,1854.87,1865.6
ETH,7/10/2023,1865.59,1904.91,1846.99,1882.88
ETH,7/11/2023,1871,1891.08,1862.41,1875.62
ETH,7/12/2023,1875.63,1901.96,1864.3,1871.93
ETH,7/13/2023,1871.94,2012.87,1862.44,1983.64
ETH,7/14/2023,1983.65,2028.83,1899.39,1930.44
ETH,7/15/2023,1930.44,1946.94,1924.82,1931.35
ETH,7/16/2023,1931.36,1944.2,1921.25,1931.33
ETH,7/17/2023,1931.22,1938.15,1873.85,1917.13
ETH,7/18/2023,1917.14,1919.82,1876.7,1897.59
ETH,7/19/2023,1897.59,1921.49,1882.23,1893.9
ETH,7/20/2023,1893.89,1929.04,1878.12,1897.51
ETH,7/21/2023,1897.51,1905.34,1884.53,1894.05
ETH,7/22/2023,1894.05,1897.5,1882.23,1887.17
ETH,7/23/2023,1887.17,1904.82,1853.16,1879.78
ETH,7/24/2023,1879.86,1890.76,1833.84,1849.25
ETH,7/25/2023,1849.25,1868.02,1845.16,1861.24
ETH,7/26/2023,1861.24,1886.87,1848.19,1871.1
ETH,7/27/2023,1871.09,1886.02,1855.16,1858.59
ETH,7/28/2023,1858.59,1882.68,1854.32,1876.33
ETH,7/29/2023,1876.32,1886.23,1869.53,1881.66
ETH,7/30/2023,1881.66,1885.16,1848.92,1861.43
ETH,7/31/2023,1861.24,1877.09,1850.83,1856.54
ETH,8/1/2023,1856.54,1864.45,1812.68,1848.9
ETH,8/2/2023,1848.76,1878.98,1820.56,1842.78
ETH,8/3/2023,1842.78,1857.32,1824.18,1838.46
ETH,8/4/2023,1838.46,1849.55,1814.81,1828.1
ETH,8/5/2023,1828.11,1844.8,1825.61,1833.31
ETH,8/6/2023,1833.31,1844.15,1819.44,1827.45
ETH,8/7/2023,1827.45,1844.41,1798.46,1823.66
ETH,8/8/2023,1823.66,1876.01,1822.81,1861.7
ETH,8/9/2023,1861.7,1870.97,1844.67,1852.19
ETH,8/10/2023,1852.2,1864.08,1843.47,1848.05
ETH,8/11/2023,1848.04,1855.09,1836.5,1843.37
ETH,8/12/2023,1843.36,1852.4,1842.97,1848.37
ETH,8/13/2023,1848.38,1860.47,1844.73,1847.07
ETH,8/14/2023,1847.06,1853.77,1833.08,1843.64
ETH,8/15/2023,1843.63,1845.47,1815.91,1827.21
ETH,8/16/2023,1827.21,1829.14,1796.42,1809.67
ETH,8/17/2023,1809.68,1813.07,1550.3,1618.47
ETH,8/18/2023,1617.24,1716.53,1606.79,1662.28
ETH,8/19/2023,1662.05,1695.94,1653.77,1668.98
ETH,8/20/2023,1668.98,1694.6,1661.78,1682.7
ETH,8/21/2023,1682.72,1687.88,1649.27,1673.39
ETH,8/22/2023,1673.4,1673.42,1582.04,1603.45
ETH,8/23/2023,1603.47,1701.15,1602.84,1664.94
ETH,8/24/2023,1664.68,1682.91,1634.48,1653.35
ETH,8/25/2023,1653.35,1675.7,1634.57,1650.48
ETH,8/26/2023,1650.47,1654.7,1643.17,1648.25
ETH,8/27/2023,1648.25,1659.31,1644.44,1652.58
ETH,8/28/2023,1652.58,1662.81,1620.74,1645.82
ETH,8/29/2023,1645.82,1744.83,1638.87,1732.52
ETH,8/30/2023,1732.5,1735.1,1696.33,1703.57
ETH,8/31/2023,1703.57,1727.12,1630.13,1647.48
ETH,9/1/2023,1647.49,1654.02,1601.96,1628.14
ETH,9/2/2023,1628.14,1644.52,1625.26,1635.95
ETH,9/3/2023,1635.95,1645.94,1624.94,1636.44
ETH,9/4/2023,1636.43,1644.47,1618.12,1620.5
ETH,9/5/2023,1620.5,1646.55,1609.26,1629.48
ETH,9/6/2023,1629.75,1664.48,1610.98,1631.57
ETH,9/7/2023,1631.56,1658.62,1622.43,1645.46
ETH,9/8/2023,1646.37,1658.18,1615.93,1634.22
ETH,9/9/2023,1634.23,1638.51,1629.23,1634.98
ETH,9/10/2023,1635.01,1636.41,1599.58,1623.07
ETH,9/11/2023,1624.3,1626.51,1531,1543.53
ETH,9/12/2023,1543.54,1625.11,1543.53,1601.17
ETH,9/13/2023,1600.79,1617.85,1581.64,1605.24
ETH,9/14/2023,1605.8,1643.99,1605.8,1627.61
ETH,9/15/2023,1627.72,1638.34,1611.41,1631.84
ETH,9/16/2023,1631.97,1653.77,1630.74,1636.95
ETH,9/17/2023,1636.95,1637.42,1612.41,1620.05
ETH,9/18/2023,1620.05,1669.53,1605.44,1640.49
ETH,9/19/2023,1640.61,1660.98,1627.05,1641.39
ETH,9/20/2023,1641.28,1649.53,1606.58,1626.04
ETH,9/21/2023,1626.28,1626.4,1567.78,1588.6
