ticker,date,open,high,low,close
SHIB,6/25/2023,7.83E-06,8.04E-06,7.77E-06,7.81E-06
SHIB,6/26/2023,7.81E-06,7.92E-06,7.46E-06,7.53E-06
SHIB,6/27/2023,7.52E-06,7.68E-06,7.43E-06,7.55E-06
SHIB,6/28/2023,7.56E-06,7.61E-06,7.15E-06,7.22E-06
SHIB,6/29/2023,7.23E-06,7.43E-06,7.20E-06,7.28E-06
SHIB,6/30/2023,7.30E-06,7.66E-06,7.02E-06,7.48E-06
SHIB,7/1/2023,7.49E-06,7.77E-06,7.47E-06,7.62E-06
SHIB,7/2/2023,7.62E-06,7.68E-06,7.42E-06,7.68E-06
SHIB,7/3/2023,7.68E-06,7.80E-06,7.62E-06,7.79E-06
SHIB,7/4/2023,7.78E-06,7.86E-06,7.64E-06,7.72E-06
SHIB,7/5/2023,7.72E-06,7.74E-06,7.35E-06,7.44E-06
SHIB,7/6/2023,7.44E-06,7.67E-06,7.13E-06,7.23E-06
SHIB,7/7/2023,7.23E-06,7.32E-06,7.06E-06,7.28E-06
SHIB,7/8/2023,7.29E-06,7.73E-06,7.26E-06,7.72E-06
SHIB,7/9/2023,7.72E-06,7.80E-06,7.57E-06,7.69E-06
SHIB,7/10/2023,7.70E-06,7.75E-06,7.41E-06,7.62E-06
SHIB,7/11/2023,7.62E-06,7.63E-06,7.43E-06,7.47E-06
SHIB,7/12/2023,7.47E-06,7.60E-06,7.34E-06,7.52E-06
SHIB,7/13/2023,7.52E-06,8.13E-06,7.43E-06,7.90E-06
SHIB,7/14/2023,7.90E-06,8.46E-06,7.60E-06,7.90E-06
SHIB,7/15/2023,7.90E-06,8.54E-06,7.89E-06,8.09E-06
SHIB,7/16/2023,8.08E-06,8.17E-06,7.82E-06,7.90E-06
SHIB,7/17/2023,7.90E-06,8.08E-06,7.64E-06,7.80E-06
SHIB,7/18/2023,7.79E-06,7.90E-06,7.58E-06,7.66E-06
SHIB,7/19/2023,7.66E-06,7.84E-06,7.64E-06,7.72E-06
SHIB,7/20/2023,7.72E-06,7.93E-06,7.60E-06,7.66E-06
SHIB,7/21/2023,7.66E-06,8.02E-06,7.65E-06,7.81E-06
SHIB,7/22/2023,7.80E-06,7.91E-06,7.70E-06,7.79E-06
SHIB,7/23/2023,7.80E-06,7.91E-06,7.70E-06,7.89E-06
SHIB,7/24/2023,7.89E-06,8.02E-06,7.56E-06,7.64E-06
SHIB,7/25/2023,7.64E-06,7.93E-06,7.60E-06,7.89E-06
SHIB,7/26/2023,7.89E-06,7.98E-06,7.71E-06,7.89E-06
SHIB,7/27/2023,7.89E-06,7.93E-06,7.73E-06,7.78E-06
SHIB,7/28/2023,7.78E-06,8.43E-06,7.77E-06,8.27E-06
SHIB,7/29/2023,8.28E-06,8.53E-06,8.14E-06,8.44E-06
SHIB,7/30/2023,8.52E-06,8.78E-06,8.09E-06,8.27E-06
SHIB,7/31/2023,8.29E-06,8.71E-06,8.23E-06,8.37E-06
SHIB,8/1/2023,8.38E-06,8.49E-06,8.12E-06,8.31E-06
SHIB,8/2/2023,8.31E-06,8.46E-06,8.07E-06,8.14E-06
SHIB,8/3/2023,8.16E-06,8.38E-06,8.12E-06,8.31E-06
SHIB,8/4/2023,8.31E-06,8.84E-06,8.20E-06,8.65E-06
SHIB,8/5/2023,8.65E-06,1.05E-05,8.62E-06,9.91E-06
SHIB,8/6/2023,9.92E-06,1.03E-05,9.18E-06,9.36E-06
SHIB,8/7/2023,9.36E-06,9.46E-06,8.76E-06,8.92E-06
SHIB,8/8/2023,8.92E-06,9.67E-06,8.86E-06,9.47E-06
SHIB,8/9/2023,9.49E-06,9.96E-06,9.35E-06,9.50E-06
SHIB,8/10/2023,9.51E-06,1.02E-05,9.50E-06,9.94E-06
SHIB,8/11/2023,9.94E-06,1.05E-05,9.77E-06,1.04E-05
SHIB,8/12/2023,1.04E-05,1.13E-05,1.04E-05,1.08E-05
SHIB,8/13/2023,1.08E-05,1.09E-05,1.03E-05,1.04E-05
SHIB,8/14/2023,1.04E-05,1.06E-05,9.96E-06,1.03E-05
SHIB,8/15/2023,1.03E-05,1.06E-05,9.42E-06,9.95E-06
SHIB,8/16/2023,9.98E-06,1.01E-05,9.02E-06,9.05E-06
SHIB,8/17/2023,9.05E-06,9.39E-06,7.28E-06,7.87E-06
SHIB,8/18/2023,7.88E-06,8.70E-06,7.74E-06,8.58E-06
SHIB,8/19/2023,8.58E-06,8.68E-06,8.32E-06,8.38E-06
SHIB,8/20/2023,8.37E-06,8.48E-06,8.16E-06,8.31E-06
SHIB,8/21/2023,8.31E-06,8.37E-06,7.78E-06,8.01E-06
