ticker,date,open,high,low,close,actual_return,MSCI,msci_return
ADA,2023-03-02,0.358747,0.361461,0.344683,0.349911,-2.482045165,"2,719.68",0.476506085
AVAX,2023-03-02,17.6523,17.8621,17.1286,17.4516,-1.136962322,"2,719.68",0.476506085
BCH,2023-03-02,133.647,134.776,129.931,131.73,-1.471237201,"2,719.68",0.476506085
BNB,2023-03-02,302.039,303.84,295.779,300.227,-0.599922527,"2,719.68",0.476506085
BTC,2023-03-02,23535.0,23795.0,23199.1,23464.9,-0.29785426,"2,719.68",0.476506085
DAI,2023-03-02,0.99754,1.0036,0.99707,1.00018,0.265656171,"2,719.68",0.476506085
DOGE,2023-03-02,0.0818296,0.0823113,0.0796034,0.0805883,-1.506099931,"2,719.68",0.476506085
DOT,2023-03-02,6.49064,6.55119,6.2233,6.32027,-2.663847324,"2,719.68",0.476506085
ETH,2023-03-02,1656.73,1678.03,1619.12,1649.0,-0.467182539,"2,719.68",0.476506085
ICP,2023-03-02,6.1278,6.19674,5.7654,5.93453,-3.153986749,"2,719.68",0.476506085
LINK,2023-03-02,7.49477,7.58254,7.1642,7.26325,-3.042515388,"2,719.68",0.476506085
LTC,2023-03-02,97.3917,98.3418,93.91,95.3086,-2.1599853,"2,719.68",0.476506085
MATIC,2023-03-02,1.24046,1.25389,1.19189,1.22441,-1.293874853,"2,719.68",0.476506085
SHIB,2023-03-02,1.22e-05,1.23e-05,1.17e-05,1.21e-05,-0.906,"2,719.68",0.476506085
SOL,2023-03-02,22.4282,22.6535,21.6727,22.0629,-1.627875869,"2,719.68",0.476506085
TRX,2023-03-02,0.0696244,0.0703382,0.0689452,0.0696443,0.021829953,"2,719.68",0.476506085
USDC,2023-03-02,0.99994,1.00013,0.9996,0.99999,-0.00399988,"2,719.68",0.476506085
USDT,2023-03-02,1.00013,1.00021,0.9999,1.00009,-0.00399948,"2,719.68",0.476506085
XRP,2023-03-02,0.3832,0.38452,0.373723,0.378314,-1.300808766,"2,719.68",0.476506085
ADA,2023-03-03,0.349941,0.350925,0.320742,0.342231,-2.194843832,"2,757.97",1.407737075
AVAX,2023-03-03,17.4514,17.4916,15.8113,16.5812,-4.987508309,"2,757.97",1.407737075
BCH,2023-03-03,131.751,131.891,119.95,125.589,-4.661808244,"2,757.97",1.407737075
BNB,2023-03-03,300.227,300.427,286.84,289.22,-3.666225889,"2,757.97",1.407737075
BTC,2023-03-03,23463.5,23504.9,22098.0,22320.4,-4.87749788,"2,757.97",1.407737075
DAI,2023-03-03,1.00118,1.0026,0.99724,0.99807,-0.210962027,"2,757.97",1.407737075
DOGE,2023-03-03,0.0805883,0.080673,0.071795,0.0762443,-5.390360635,"2,757.97",1.407737075
DOT,2023-03-03,6.31871,6.33877,5.78686,6.01756,-4.789510575,"2,757.97",1.407737075
ETH,2023-03-03,1648.88,1651.01,1547.24,1567.06,-4.969072165,"2,757.97",1.407737075
ICP,2023-03-03,5.93848,5.94512,5.25874,5.55539,-6.38871149,"2,757.97",1.407737075
LINK,2023-03-03,7.26408,7.28262,6.65767,6.94479,-4.384538602,"2,757.97",1.407737075
LTC,2023-03-03,95.2976,95.4367,85.856,90.0454,-5.522271862,"2,757.97",1.407737075
MATIC,2023-03-03,1.2248,1.22927,1.12439,1.16717,-4.674904648,"2,757.97",1.407737075
SHIB,2023-03-03,1.21e-05,1.21e-05,1.09e-05,1.13e-05,-6.13,"2,757.97",1.407737075
SOL,2023-03-03,22.0621,22.0787,20.3395,21.4015,-2.997792675,"2,757.97",1.407737075
